continent,country,city,airport_name,airport_code
Asia,American Samoa,Pago Pago,Pago Pago,PPG
Asia,Bangladesh,Barisal,Barisal,BZL
Asia,Bangladesh,Coxs Bazar,Coxs Bazar,CXB
Asia,Bangladesh,Jessore,Jessore,JSR
Asia,Bangladesh,Rajshahi,Rajshahi,RJH
Asia,Bangladesh,Saidpur,Saidpur,SPD
Asia,Bangladesh,Shah Amanat,Shah Amanat,CGP
Asia,Bangladesh,Sylhet,Sylhet,ZYL
Asia,Bangladesh,Zia,Zia,DAC
Asia,Bhutan,Bathpalathang,Bathpalathang,BUT
Asia,Bhutan,Gelephu,Gelephu,GLU
Asia,Bhutan,Paro,Paro,PBH
Asia,Bhutan,Yongphulla,Yongphulla,YON
Asia,Brunei Darussalam,Brunei,Brunei,BWN
Asia,Cambodia,Dara Sakor,Dara Sakor,DSY
Asia,Cambodia,Kratie,Kratie,KTI
Asia,Cambodia,Phnom Penh,Phnom Penh,PNH
Asia,Cambodia,Siem Reap-Ankor,Siem Reap-Ankor,SAI
Asia,Cambodia,Sihanoukville,Sihanoukville,KOS
Asia,China,,,WEC
Asia,China,Aksu,Aksu,AKU
Asia,China,Alaer Talimu,Alaer Talimu,ACF
Asia,China,Ali Pulan,Ali Pulan,APJ
Asia,China,Altay,Altay,AAT
Asia,China,Alxa Left Banner,Alxa Left Banner,AXF
Asia,China,An Shun/Huang Guo Shu,An Shun/Huang Guo Shu,AVA
Asia,China,Anqing,Anqing,AQG
Asia,China,Anshan Teng'ao,Anshan Teng'ao,AOG
Asia,China,Arxan Yiershi,Arxan Yiershi,YIE
Asia,China,Baicheng Chang'an,Baicheng Chang'an,DBC
Asia,China,Bailian,Bailian,LZH
Asia,China,Bangda,Bangda,BPX
Asia,China,Baoshan,Baoshan,BSD
Asia,China,Baotou,Baotou,BAV
Asia,China,Bayannur Tianjitai,Bayannur Tianjitai,RLK
Asia,China,Beihai,Beihai,BHY
Asia,China,Beihu,Beihu,HCZ
Asia,China,Beijing Capital,Beijing Capital,PEK
Asia,China,Bole Alashankou,Bole Alashankou,BPL
Asia,China,Bozhou,Bozhou,BZJ
Asia,China,Brkol Dahe,Brkol Dahe,DHH
Asia,China,Cangyuan Washan,Cangyuan Washan,CWJ
Asia,China,ChaGanHu,ChaGanHu,YSQ
Asia,China,Changbaishan,Changbaishan,NBS
Asia,China,Changchun Longjia,Changchun Longjia,CGQ
Asia,China,Changde,Changde,CGD
Asia,China,Changsha Huanghua,Changsha Huanghua,CSX
Asia,China,Changzhi,Changzhi,CIH
Asia,China,Changzhou,Changzhou,CZX
Asia,China,Chaoyang,Chaoyang,CHG
