continent,country,city,airport_name,airport_code
Central America,Belize,Belize City Municipal,Belize City Municipal,TZA
Central America,Belize,Caye Caulker,Caye Caulker,CUK
Central America,Belize,Caye Chapel,Caye Chapel,CYC
Central America,Belize,Dangriga,Dangriga,DGA
Central America,Belize,Municipal,Municipal,CZH
Central America,Belize,Philip S W Goldson,Philip S W Goldson,BZE
Central America,Belize,Placencia,Placencia,PLJ
Central America,Belize,Punta Gorda,Punta Gorda,PND
Central America,Belize,San Pedro,San Pedro,SPR
Central America,Costa Rica,Arenal,Arenal,FON
Central America,Costa Rica,Cobano,Cobano,ACO
Central America,Costa Rica,Daniel Oduber Quiros,Daniel Oduber Quiros,LIR
Central America,Costa Rica,Drake Bay,Drake Bay,DRK
Central America,Costa Rica,Golfito,Golfito,GLF
Central America,Costa Rica,Juan Santamaria,Juan Santamaria,SJO
Central America,Costa Rica,La Managua,La Managua,XQP
Central America,Costa Rica,Limon,Limon,LIO
Central America,Costa Rica,Nosara Beach,Nosara Beach,NOB
Central America,Costa Rica,Puerto Jimenez,Puerto Jimenez,PJM
Central America,Costa Rica,Tamarindo,Tamarindo,TNO
Central America,Costa Rica,Tortuquero,Tortuquero,TTQ
Central America,El Salvador,El Salvador,El Salvador,SAL
Central America,Guatemala,La Aurora,La Aurora,GUA
Central America,Guatemala,Mundo Maya,Mundo Maya,FRS
Central America,Guatemala,Puerto Barrios,Puerto Barrios,PBR
Central America,Honduras,Goloson,Goloson,LCE
Central America,Honduras,Guanaja,Guanaja,GJA
Central America,Honduras,La Mesa,La Mesa,SAP
Central America,Honduras,Palmerola Air Base,Palmerola Air Base,XPL
Central America,Honduras,Puerto Lempira,Puerto Lempira,PEU
Central America,Honduras,Roatan,Roatan,RTB
Central America,Honduras,Toncontin,Toncontin,TGU
Central America,Nicaragua,Bluefields,Bluefields,BEF
Central America,Nicaragua,Corn Island,Corn Island,RNI
Central America,Nicaragua,Managua,Managua,MGA
Central America,Nicaragua,Puerto Cabezas,Puerto Cabezas,PUZ
Central America,Panama,Bocas Del Toro,Bocas Del Toro,BOC
Central America,Panama,Cap Manuel Nino,Cap Manuel Nino,CHX
Central America,Panama,Chitre,Chitre,CTD
Central America,Panama,Enrique Malek,Enrique Malek,DAV
Central America,Panama,Marcos A Gelabert,Marcos A Gelabert,PAC
Central America,Panama,Panama Pacifico,Panama Pacifico,BLB
Central America,Panama,Scarlett Martinez,Scarlett Martinez,RIH
Central America,Panama,Tocumen,Tocumen,PTY
