continent,country,city,airport_name,airport_code
Europe,Aland,Mariehamn,Mariehamn,MHQ
Europe,Albania,Tirana Nënë Tereza,Tirana Nënë Tereza,TIA
Europe,Albania,Vlora airport,Vlora airport,VLO
Europe,Armenia,Leninakan,Leninakan,LWN
Europe,Armenia,Zvartnots,Zvartnots,EVN
Europe,Austria,Graz Mil/Civ,Graz Mil/Civ,GRZ
Europe,Austria,Horsching (Aus - Afb),Horsching (Aus - Afb),LNZ
Europe,Austria,Innsbruck,Innsbruck,INN
Europe,Austria,Klagenfurt(Aus-Afb),Klagenfurt(Aus-Afb),KLU
Europe,Austria,Salzburg,Salzburg,SZG
Europe,Austria,Vienna,Vienna,VIE
Europe,Azerbaijan,Ganja,Ganja,GNJ
Europe,Azerbaijan,Gyandzha,Gyandzha,KVD
Europe,Azerbaijan,Heydar Aliyev,Heydar Aliyev,GYD
Europe,Azerbaijan,Nakhichevan,Nakhichevan,NAJ
Europe,Belarus,Brest,Brest,BQT
Europe,Belarus,Gomel,Gomel,GME
Europe,Belarus,Minsk,Minsk,MSQ
Europe,Belarus,Mogilev,Mogilev,MVQ
Europe,Belgium,Brussels,Brussels,BRU
Europe,Belgium,Brussels Gare du Midi,Brussels Gare du Midi,ZYR
Europe,Belgium,Brussels South Charleroi,Brussels South Charleroi,CRL
Europe,Belgium,Deurne,Deurne,ANR
Europe,Belgium,Oostende,Oostende,OST
Europe,Bosnia and Herzegovina,Banja Luka,Banja Luka,BNX
Europe,Bosnia and Herzegovina,Mostar,Mostar,OMO
Europe,Bosnia and Herzegovina,Sarajevo,Sarajevo,SJJ
Europe,Bosnia and Herzegovina,Tuzla,Tuzla,TZL
Europe,Bulgaria,Burgas,Burgas,BOJ
Europe,Bulgaria,Plovdiv,Plovdiv,PDV
Europe,Bulgaria,Sofia,Sofia,SOF
Europe,Bulgaria,Varna,Varna,VAR
Europe,Croatia,Bol,Bol,BWK
Europe,Croatia,Dubrovnik,Dubrovnik,DBV
Europe,Croatia,Osijek,Osijek,OSI
Europe,Croatia,Pula,Pula,PUY
Europe,Croatia,Rijeka,Rijeka,RJK
Europe,Croatia,Split,Split,SPU
Europe,Croatia,Zadar,Zadar,ZAD
Europe,Croatia,Zagreb,Zagreb,ZAG
Europe,Croatia,Zhongchuan,Zhongchuan,ZGC
Europe,Cyprus,Ercan,Ercan,ECN
Europe,Cyprus,Larnaca,Larnaca,LCA
Europe,Cyprus,Paphos,Paphos,PFO
Europe,Czech Republic,Mosnov,Mosnov,OSR
Europe,Czech Republic,Pardubice,Pardubice,PED
Europe,Czech Republic,Turany,Turany,BRQ
Europe,Czech Republic,Václav Havel Prague,Václav Havel Prague,PRG
Europe,Denmark,Aalborg,Aalborg,AAL
Europe,Denmark,Aarhus,Aarhus,AAR
Europe,Denmark,Billund,Billund,BLL
Europe,Denmark,Bornholm Ronne,Bornholm Ronne,RNN
Europe,Denmark,Copenhagen,Copenhagen,CPH
Europe,Denmark,Esbjerg,Esbjerg,EBJ
Europe,Denmark,Karup,Karup,KRP
Europe,Denmark,Sonderborg,Sonderborg,SGD
Europe,Estonia,Kardla,Kardla,KDL
Europe,Estonia,Kuressaare,Kuressaare,URE
Europe,Estonia,Tallinn,Tallinn,TLL
Europe,Estonia,Tartu,Tartu,TAY
Europe,Faroe Islands,Vagar,Vagar,FAE
Europe,Finland,Helsinki,Helsinki,HEL
Europe,Finland,Ivalo,Ivalo,IVL
Europe,Finland,Joensuu,Joensuu,JOE
Europe,Finland,Jyvaskyla,Jyvaskyla,JYV
Europe,Finland,Kajaani,Kajaani,KAJ
Europe,Finland,Kemi Tornio,Kemi Tornio,KEM
Europe,Finland,Kittila,Kittila,KTT
Europe,Finland,Kruunupyy,Kruunupyy,KOK
Europe,Finland,Kuopio,Kuopio,KUO
Europe,Finland,Kuusamo,Kuusamo,KAO
Europe,Finland,Oulu,Oulu,OUL
Europe,Finland,Pori,Pori,POR
Europe,Finland,Rovaniemi,Rovaniemi,RVN
Europe,Finland,Savonlinna,Savonlinna,SVL
Europe,Finland,Tampere Pirkkala,Tampere Pirkkala,TMP
Europe,Finland,Turku,Turku,TKU
Europe,Finland,Vaasa,Vaasa,VAA
Europe,France,Aix Les Bains,Aix Les Bains,CMF
Europe,France,Aurillac,Aurillac,AUR
Europe,France,Beauvais–Tillé,Beauvais–Tillé,BVA
Europe,France,Bellegarde,Bellegarde,LIG
Europe,France,Biard,Biard,PIS
Europe,France,Biarritz,Biarritz,BIQ
Europe,France,Bordeaux–Mérignac,Bordeaux–Mérignac,BOD
Europe,France,Campo Dell Oro,Campo Dell Oro,AJA
Europe,France,Carpiquet,Carpiquet,CFR
Europe,France,Chalons Vatry,Chalons Vatry,XCR
Europe,France,Charles De Gaulle,Charles De Gaulle,CDG
Europe,France,Clermont-ferrand,Clermont-ferrand,CFE
Europe,France,Cote D Azur,Cote D Azur,NCE
Europe,France,Entzheim,Entzheim,SXB
Europe,France,Euro Basel Mulhouse Freiburg,Euro Basel Mulhouse Freiburg,BSL
Europe,France,Figari,Figari,FSC
Europe,France,Gare de Strasbourg,Gare de Strasbourg,XWG
Europe,France,Garons,Garons,FNI
Europe,France,Guipavas,Guipavas,BES
Europe,France,Hyeres,Hyeres,TLN
Europe,France,Lann Bihoue,Lann Bihoue,LRT
Europe,France,Lesquin,Lesquin,LIL
Europe,France,Lherm,Lherm,LRH
Europe,France,Lille,Lille,XDB
Europe,France,Loudes,Loudes,LPY
Europe,France,Lourdes,Lourdes,LDE
Europe,France,Lyon Part-Dieu Railway,Lyon Part-Dieu Railway,XYD
Europe,France,Lyon–Saint-Exupéry,Lyon–Saint-Exupéry,LYS
Europe,France,Marcillac,Marcillac,RDZ
Europe,France,Marseille Provence,Marseille Provence,MRS
Europe,France,Mazamet,Mazamet,DCM
Europe,France,Mediterranee,Mediterranee,MPL
Europe,France,Metz Nancy Lorraine,Metz Nancy Lorraine,ETZ
Europe,France,Montoir,Montoir,SNR
Europe,France,Nantes,Nantes,NTE
Europe,France,Orly,Orly,ORY
Europe,France,Ouessant,Ouessant,OUI
Europe,France,Pau Pyrenees,Pau Pyrenees,PUF
Europe,France,Poretta,Poretta,BIA
Europe,France,Rivesaltes,Rivesaltes,PGF
Europe,France,Roumaniere,Roumaniere,EGC
Europe,France,Saint Catherine,Saint Catherine,CLY
Europe,France,Saint Geoirs,Saint Geoirs,GNB
Europe,France,Saint-Pierre-des-Corps,Saint-Pierre-des-Corps,XSH
Europe,France,Salvaza,Salvaza,CCF
Europe,France,St Gatien,St Gatien,DOL
Europe,France,St Jacques,St Jacques,RNS
Europe,France,Tavaux,Tavaux,DLE
Europe,France,Toulouse–Blagnac,Toulouse–Blagnac,TLS
Europe,France,Val De Loire,Val De Loire,TUF
Europe,France,Vallee de la Dordogne,Vallee de la Dordogne,BVE
Europe,France,Vias,Vias,BZR
Europe,Georgia,Batumi,Batumi,BUS
Europe,Georgia,Kutaisi,Kutaisi,KUT
Europe,Georgia,Lochini,Lochini,TBS
Europe,Georgia,Sukhumi Dranda,Sukhumi Dranda,SUI
Europe,Germany,Berlin Brandenburg,Berlin Brandenburg,BER
Europe,Germany,Berlin Hauptbahnhof,Berlin Hauptbahnhof,QPP
Europe,Germany,Berlin Schönefeld,Berlin Schönefeld,SXF
Europe,Germany,Braunschweig,Braunschweig,BWE
Europe,Germany,Bremen,Bremen,BRE
Europe,Germany,Cologne Bonn,Cologne Bonn,CGN
Europe,Germany,Cologne Railway,Cologne Railway,QKL
Europe,Germany,Dortmund,Dortmund,DTM
Europe,Germany,Dresden,Dresden,DRS
Europe,Germany,Dusseldorf,Dusseldorf,DUS
Europe,Germany,Dusseldorf Hauptbahnhof,Dusseldorf Hauptbahnhof,QDU
Europe,Germany,Erfurt,Erfurt,ERF
Europe,Germany,Frankfurt,Frankfurt,FRA
Europe,Germany,Frankfurt Hahn,Frankfurt Hahn,HHN
Europe,Germany,Friedrichshafen,Friedrichshafen,FDH
Europe,Germany,Hamburg,Hamburg,HAM
Europe,Germany,Hannover,Hannover,HAJ
Europe,Germany,Heringsdorf,Heringsdorf,HDF
Europe,Germany,Karlsruhe/Badern Baden,Karlsruhe/Badern Baden,FKB
Europe,Germany,Kassel Calden,Kassel Calden,KSF
Europe,Germany,Laage,Laage,RLG
Europe,Germany,Leipzig Halle,Leipzig Halle,LEJ
Europe,Germany,Lubeck Blankensee,Lubeck Blankensee,LBC
Europe,Germany,Memmingen,Memmingen,FMM
Europe,Germany,Munich,Munich,MUC
Europe,Germany,Munster Osnabruck,Munster Osnabruck,FMO
Europe,Germany,Niederrhein,Niederrhein,NRN
Europe,Germany,Nuremberg,Nuremberg,NUE
Europe,Germany,Paderborn Lippstadt,Paderborn Lippstadt,PAD
Europe,Germany,Saarbrucken,Saarbrucken,SCN
Europe,Germany,Stuttgart,Stuttgart,STR
Europe,Germany,Stuttgart Railway Station,Stuttgart Railway Station,ZWS
Europe,Germany,Westerland Sylt,Westerland Sylt,GWT
Europe,Gibraltar,North Front,North Front,GIB
Europe,Greece,Aktio,Aktio,PVK
Europe,Greece,Araxos,Araxos,GPA
