continent,country,city,airport_name,airport_code
North America,Canada,Abbotsford,Abbotsford,YXX
North America,Canada,Akulivik,Akulivik,AKV
North America,Canada,Anahim Lake,Anahim Lake,YAA
North America,Canada,Angling Lake,Angling Lake,YAX
North America,Canada,Arctic Bay,Arctic Bay,YAB
North America,Canada,Arviat,Arviat,YEK
North America,Canada,Attawapiskat,Attawapiskat,YAT
North America,Canada,Aupaluk,Aupaluk,YPJ
North America,Canada,Bagotville,Bagotville,YBG
North America,Canada,Baie Comeau,Baie Comeau,YBC
North America,Canada,Baker Lake,Baker Lake,YBK
North America,Canada,Bathurst,Bathurst,ZBF
North America,Canada,Bearskin Lake,Bearskin Lake,XBE
North America,Canada,Bella Bella,Bella Bella,ZEL
North America,Canada,Bella Coola,Bella Coola,QBC
North America,Canada,Big Trout,Big Trout,YTL
North America,Canada,Blanc Sablon,Blanc Sablon,YBX
North America,Canada,Bonaventure,Bonaventure,YVB
North America,Canada,Brandon Muni,Brandon Muni,YBR
North America,Canada,Calgary,Calgary,YYC
North America,Canada,Cambridge Bay,Cambridge Bay,YCB
North America,Canada,Campbell River,Campbell River,YBL
North America,Canada,Campbell River Sea Plane Base,Campbell River Sea Plane Base,YHH
North America,Canada,Cape Dorset,Cape Dorset,YTE
North America,Canada,Castlegar,Castlegar,YCG
North America,Canada,Cat Lake,Cat Lake,YAC
North America,Canada,Chapais,Chapais,YMT
North America,Canada,Charlottetown,Charlottetown,YYG
North America,Canada,Chesterfield Inlet,Chesterfield Inlet,YCS
North America,Canada,Chevery,Chevery,YHR
North America,Canada,Chisasibi,Chisasibi,YKU
North America,Canada,Churchill,Churchill,YYQ
North America,Canada,Churchill Falls,Churchill Falls,ZUM
North America,Canada,City Centre,City Centre,YTZ
North America,Canada,Clyde River,Clyde River,YCY
North America,Canada,Colville Lake,Colville Lake,YCK
North America,Canada,Comox,Comox,YQQ
North America,Canada,Cranbrook,Cranbrook,YXC
North America,Canada,Dawson City,Dawson City,YDA
North America,Canada,Deer Lake,Deer Lake,YDF
North America,Canada,Deer Lake,Deer Lake,YVZ
North America,Canada,Deline,Deline,YWJ
North America,Canada,East Main,East Main,ZEM
North America,Canada,Edmonton,Edmonton,YEG
North America,Canada,Fairmont Hot Springs,Fairmont Hot Springs,YZS
North America,Canada,Flin Flon,Flin Flon,YFO
North America,Canada,Fond-Du-Lac,Fond-Du-Lac,ZFD
North America,Canada,Fort Albany,Fort Albany,YFA
North America,Canada,Fort Chipewyan,Fort Chipewyan,YPY
North America,Canada,Fort Good Hope,Fort Good Hope,YGH
North America,Canada,Fort Hope,Fort Hope,YFH
North America,Canada,Fort Mcmurray,Fort Mcmurray,YMM
North America,Canada,Fort Nelson,Fort Nelson,YYE
North America,Canada,Fort Severn,Fort Severn,YER
North America,Canada,Fort Simpson,Fort Simpson,YFS
North America,Canada,Fort Smith,Fort Smith,YSM
North America,Canada,Fort St John,Fort St John,YXJ
North America,Canada,Freddie Carmichael,Freddie Carmichael,LAK
North America,Canada,Fredericton,Fredericton,YFC
North America,Canada,Gander,Gander,YQX
North America,Canada,Ganges Seaplane Base,Ganges Seaplane Base,YGG
North America,Canada,Gaspe,Gaspe,YGP
North America,Canada,Gatineau,Gatineau,YND
North America,Canada,Gethsemani,Gethsemani,ZGS
North America,Canada,Gillam,Gillam,YGX
North America,Canada,Gjoa Haven,Gjoa Haven,YHK
North America,Canada,Goose Bay,Goose Bay,YYR
North America,Canada,Grande Prairie,Grande Prairie,YQU
North America,Canada,Greater Moncton,Greater Moncton,YQM
North America,Canada,Green Lake Sea Plane Base,Green Lake Sea Plane Base,YWS
North America,Canada,Grise Fiord,Grise Fiord,YGZ
North America,Canada,Halifax,Halifax,YHZ
North America,Canada,Hall Beach,Hall Beach,YUX
North America,Canada,Hamilton,Hamilton,YHM
North America,Canada,Havre Saint-Pierre,Havre Saint-Pierre,YGV
North America,Canada,Hay River,Hay River,YHY
North America,Canada,High Level,High Level,YOJ
North America,Canada,Holman,Holman,YHI
North America,Canada,Hopedale,Hopedale,YHO
North America,Canada,Igloolik,Igloolik,YGT
North America,Canada,Iles De La Madeleine,Iles De La Madeleine,YGR
North America,Canada,Inukjuak,Inukjuak,YPH
North America,Canada,Inuvik Mike Zubko,Inuvik Mike Zubko,YEV
North America,Canada,Iqaluit,Iqaluit,YFB
North America,Canada,Ivujivik,Ivujivik,YIK
North America,Canada,Kamloops,Kamloops,YKA
North America,Canada,Kangiqsualujjuaq,Kangiqsualujjuaq,XGR
North America,Canada,Kangiqsujuaq,Kangiqsujuaq,YWB
North America,Canada,Kangirsuk,Kangirsuk,YKG
North America,Canada,Kasabonika,Kasabonika,XKS
North America,Canada,Kaschechewan,Kaschechewan,ZKE
North America,Canada,Keewaywin,Keewaywin,KEW
North America,Canada,Kelowna,Kelowna,YLW
North America,Canada,Kimmirut,Kimmirut,YLC
North America,Canada,Kingfisher Lake,Kingfisher Lake,KIF
North America,Canada,Kingston Train Station,Kingston Train Station,XEG
North America,Canada,Kugaaruk,Kugaaruk,YBB
North America,Canada,Kugluktuk,Kugluktuk,YCO
North America,Canada,Kuujjuaq,Kuujjuaq,YVP
North America,Canada,Kuujjuarapik,Kuujjuarapik,YGW
North America,Canada,La Grande,La Grande,YGL
North America,Canada,La Ronge,La Ronge,YVC
North America,Canada,La Tabatiere,La Tabatiere,ZLT
North America,Canada,Lansdowne House,Lansdowne House,YLH
North America,Canada,Lethbridge,Lethbridge,YQL
North America,Canada,London,London,YXU
North America,Canada,Lutselk'e,Lutselk'e,YSG
North America,Canada,Makkovik,Makkovik,YMN
North America,Canada,Masset,Masset,ZMT
North America,Canada,Medicine Hat,Medicine Hat,YXH
North America,Canada,Mont Joli,Mont Joli,YYY
North America,Canada,Moosonee,Moosonee,YMO
North America,Canada,Muskrat Dam,Muskrat Dam,MSA
North America,Canada,Nain,Nain,YDP
North America,Canada,Nanaimo,Nanaimo,YCD
North America,Canada,Nanaimo Harbour Water,Nanaimo Harbour Water,ZNA
North America,Canada,Natashquan,Natashquan,YNA
North America,Canada,Natuashish,Natuashish,YNP
North America,Canada,Nemiscau,Nemiscau,YNS
North America,Canada,Norman Wells,Norman Wells,YVQ
North America,Canada,North Bay,North Bay,YYB
North America,Canada,North Spirit Lake,North Spirit Lake,YNO
North America,Canada,Ogoki,Ogoki,YOG
North America,Canada,Old Crow,Old Crow,YOC
North America,Canada,Ottawa Macdonald Cartier,Ottawa Macdonald Cartier,YOW
North America,Canada,Pakuashipi,Pakuashipi,YIF
North America,Canada,Pangnirtung,Pangnirtung,YXP
North America,Canada,Pearson,Pearson,YYZ
North America,Canada,Peawanuck,Peawanuck,YPO
North America,Canada,Penticton,Penticton,YYF
North America,Canada,Pickle Lake,Pickle Lake,YPL
North America,Canada,Pierre Elliott Trudeau,Pierre Elliott Trudeau,YUL
North America,Canada,Pikangikum,Pikangikum,YPM
North America,Canada,Pond Inlet,Pond Inlet,YIO
North America,Canada,Poplar Hill,Poplar Hill,YHP
North America,Canada,Port Hardy,Port Hardy,YZT
North America,Canada,Port Menier,Port Menier,YPN
North America,Canada,Postville,Postville,YSO
North America,Canada,Powell Lake,Powell Lake,WPL
North America,Canada,Powell River,Powell River,YPW
North America,Canada,Prince Albert Glass Field,Prince Albert Glass Field,YPA
North America,Canada,Prince George,Prince George,YXS
North America,Canada,Prince Rupert,Prince Rupert,YPR
North America,Canada,Puvirnituq,Puvirnituq,YPX
North America,Canada,Qikiqtarjuaq,Qikiqtarjuaq,YVM
North America,Canada,Quaqtaq,Quaqtaq,YQC
North America,Canada,Quebec Jean Lesage,Quebec Jean Lesage,YQB
North America,Canada,Quesnel,Quesnel,YQZ
North America,Canada,Rae Lakes,Rae Lakes,YRA
North America,Canada,Rankin Inlet,Rankin Inlet,YRT
North America,Canada,Red Lake,Red Lake,YRL
North America,Canada,Regina,Regina,YQR
North America,Canada,Repulse Bay,Repulse Bay,YUT
North America,Canada,Resolute Bay,Resolute Bay,YRB
North America,Canada,Rigolet,Rigolet,YRG
North America,Canada,Round Lake (Weagamow Lake),Round Lake (Weagamow Lake),ZRJ
North America,Canada,Rouyn Noranda,Rouyn Noranda,YUY
North America,Canada,Sachigo Lake,Sachigo Lake,ZPB
North America,Canada,Saint John,Saint John,YSJ
North America,Canada,Salluit,Salluit,YZG
North America,Canada,Sandspit,Sandspit,YZP
North America,Canada,Sandy Lake,Sandy Lake,ZSJ
North America,Canada,Sanikiluaq,Sanikiluaq,YSK
North America,Canada,Saskatoon J G Diefenbaker,Saskatoon J G Diefenbaker,YXE
North America,Canada,Sault Ste Marie,Sault Ste Marie,YAM
North America,Canada,Schefferville,Schefferville,YKL
North America,Canada,Sechelt,Sechelt,YHS
North America,Canada,Sept Iles,Sept Iles,YZV
North America,Canada,Sioux Lookout,Sioux Lookout,YXL
North America,Canada,Smithers,Smithers,YYD
North America,Canada,Snare Lake,Snare Lake,YFJ
North America,Canada,St Anthony,St Anthony,YAY
North America,Canada,St Hubert,St Hubert,YHU
North America,Canada,St Johns,St Johns,YYT
North America,Canada,Stony Rapids,Stony Rapids,YSF
North America,Canada,Sudbury,Sudbury,YSB
North America,Canada,Summer Beaver,Summer Beaver,SUR
North America,Canada,Sydney,Sydney,YQY
North America,Canada,Taloyoak,Taloyoak,YYH
North America,Canada,Tasiujuaq,Tasiujuaq,YTQ
North America,Canada,Terrace,Terrace,YXT
North America,Canada,Tete-a-La Baleine,Tete-a-La Baleine,ZTB
North America,Canada,The Pas,The Pas,YQD
North America,Canada,Thompson,Thompson,YTH
North America,Canada,Thunder Bay,Thunder Bay,YQT
North America,Canada,Timmins,Timmins,YTS
North America,Canada,Tofino,Tofino,YAZ
North America,Canada,Tofino Harbour Sea Plane Base,Tofino Harbour Sea Plane Base,YTP
North America,Canada,Trail,Trail,YZZ
North America,Canada,Train Station,Train Station,XDS
North America,Canada,Train Station,Train Station,XEF
North America,Canada,Tulita,Tulita,ZFN
North America,Canada,Umiujag,Umiujag,YUD
North America,Canada,Uranium City,Uranium City,YBE
North America,Canada,Val D Or,Val D Or,YVO
North America,Canada,Vancouver,Vancouver,YVR
North America,Canada,Vancouver Coal Harbour,Vancouver Coal Harbour,CXH
North America,Canada,Victoria,Victoria,YYJ
North America,Canada,Victoria Inner Harbour,Victoria Inner Harbour,YWH
North America,Canada,Wabush,Wabush,YWK
North America,Canada,Waskaganish,Waskaganish,YKQ
North America,Canada,Waterloo Rgnl,Waterloo Rgnl,YKF
North America,Canada,Webequie,Webequie,YWP
North America,Canada,Wemindji,Wemindji,YNC
North America,Canada,Whale Cove,Whale Cove,YXN
North America,Canada,Whitehorse,Whitehorse,YXY
North America,Canada,Williams Lake,Williams Lake,YWL
North America,Canada,Windsor,Windsor,YQG
North America,Canada,Winnipeg,Winnipeg,YWG
North America,Canada,Wollaston Lake,Wollaston Lake,ZWL
North America,Canada,Wunnummin Lake,Wunnummin Lake,WNN
North America,Canada,Yellowknife,Yellowknife,YZF
North America,Mexico,,,TJX
North America,Mexico,Abraham Gonzalez,Abraham Gonzalez,CJS
North America,Mexico,C P A Carlos Rovirosa,C P A Carlos Rovirosa,VSA
North America,Mexico,Cancun,Cancun,CUN
North America,Mexico,Chetumal,Chetumal,CTM
North America,Mexico,Ciudad Del Carmen,Ciudad Del Carmen,CME
North America,Mexico,Ciudad Obregon,Ciudad Obregon,CEN
North America,Mexico,Ciudad Victoria,Ciudad Victoria,CVM
North America,Mexico,Colima,Colima,CLQ
North America,Mexico,Cozumel,Cozumel,CZM
North America,Mexico,Culiacan,Culiacan,CUL
North America,Mexico,Durango,Durango,DGO
North America,Mexico,Federal,Federal,LMM
North America,Mexico,Felipe Angeles,Felipe Angeles,NLU
North America,Mexico,Felipe Carrillo Puerto,Felipe Carrillo Puerto,TQO
North America,Mexico,Francisco Sarabia,Francisco Sarabia,TGZ
North America,Mexico,Gen Fierro Villalobos,Gen Fierro Villalobos,CUU
North America,Mexico,General Abelardo L Rodriguez,General Abelardo L Rodriguez,TIJ
North America,Mexico,General Francisco J Mujica,General Francisco J Mujica,MLM
North America,Mexico,General Francisco Javier Mina,General Francisco Javier Mina,TAM
North America,Mexico,General Ignacio P Garcia,General Ignacio P Garcia,HMO
North America,Mexico,General Juan N Alvarez,General Juan N Alvarez,ACA
North America,Mexico,General Lucio Blanco,General Lucio Blanco,REX
North America,Mexico,General Manuel Marquez De Leon,General Manuel Marquez De Leon,LAP
North America,Mexico,General Rafael Buelna,General Rafael Buelna,MZT
North America,Mexico,General Rodolfo Sanchez Taboada,General Rodolfo Sanchez Taboada,MXL
North America,Mexico,General Servando Canales,General Servando Canales,MAM
North America,Mexico,Guadalajara,Guadalajara,GDL
North America,Mexico,Guanajuato,Guanajuato,BJX
North America,Mexico,Hermanos Serdan,Hermanos Serdan,PBC
North America,Mexico,Huatulco,Huatulco,HUX
North America,Mexico,Ingeniero Alberto Acuna Ongay,Ingeniero Alberto Acuna Ongay,CPE
North America,Mexico,Ingeniero F Espinoza Gutierrez,Ingeniero F Espinoza Gutierrez,QRO
North America,Mexico,Ixtapa Zihuatanejo,Ixtapa Zihuatanejo,ZIH
North America,Mexico,Ixtepec,Ixtepec,IZT
North America,Mexico,Jesus Teran,Jesus Teran,AGU
North America,Mexico,La Calera,La Calera,ZCL
North America,Mexico,Licenciado Adolfo Lopez Mateos,Licenciado Adolfo Lopez Mateos,TLC
North America,Mexico,Licenciado Gustavo Diaz Ordaz,Licenciado Gustavo Diaz Ordaz,PVR
North America,Mexico,Licenciado Manuel Crecencio Rejon,Licenciado Manuel Crecencio Rejon,MID
North America,Mexico,Licenciado Y Gen Ignacio Lopez Rayon,Licenciado Y Gen Ignacio Lopez Rayon,UPN
North America,Mexico,Loreto,Loreto,LTO
North America,Mexico,Los Cabos,Los Cabos,SJD
North America,Mexico,Mexico City,Mexico City,MEX
North America,Mexico,Minatitlan,Minatitlan,MTT
North America,Mexico,Monterrey,Monterrey,MTY
North America,Mexico,Palenque,Palenque,PQM
North America,Mexico,Piedras Negras,Piedras Negras,PDS
North America,Mexico,Plan De Guadalupe,Plan De Guadalupe,SLW
North America,Mexico,Playa De Oro,Playa De Oro,ZLO
North America,Mexico,Ponciano Arriaga,Ponciano Arriaga,SLP
North America,Mexico,Puerto Escondido,Puerto Escondido,PXM
North America,Mexico,Quetzalcoatl,Quetzalcoatl,NLD
North America,Mexico,Tapachula,Tapachula,TAP
North America,Mexico,Tepic,Tepic,TPQ
North America,Mexico,Torreon,Torreon,TRC
North America,Mexico,Veracruz,Veracruz,VER
North America,Mexico,Xoxocotlan,Xoxocotlan,OAX
North America,St Pierre and Miquelon,Saint Pierre,Saint Pierre,FSP
North America,USA,Aberdeen Regional,Aberdeen Regional,ABR
North America,USA,Abilene Rgnl,Abilene Rgnl,ABI
North America,USA,Abraham Lincoln Capital,Abraham Lincoln Capital,SPI
North America,USA,Adak Island,Adak Island,ADK
North America,USA,Adams Fld,Adams Fld,LIT
North America,USA,Adirondack Regional,Adirondack Regional,SLK
North America,USA,Akhiok,Akhiok,AKK
North America,USA,Akron Canton Regional,Akron Canton Regional,CAK
North America,USA,Akuton,Akuton,KQA
North America,USA,Alakanuk,Alakanuk,AUK
North America,USA,Albany,Albany,ALB
North America,USA,Albuquerque Sunport,Albuquerque Sunport,ABQ
North America,USA,Alexandria,Alexandria,AEX
North America,USA,Allakaket,Allakaket,AET
North America,USA,Alliance Municipal,Alliance Municipal,AIA
North America,USA,Alpena County Regional,Alpena County Regional,APN
North America,USA,Altoona Blair Co,Altoona Blair Co,AOO
North America,USA,Amarillo,Amarillo,AMA
North America,USA,Ambler,Ambler,ABL
North America,USA,Anaktuvuk Pass,Anaktuvuk Pass,AKP
North America,USA,Angel Fire,Angel Fire,AXX
North America,USA,Angoon,Angoon,AGN
North America,USA,Aniak,Aniak,ANI
North America,USA,Anvik,Anvik,ANV
North America,USA,Appleton,Appleton,ATW
North America,USA,Arcata,Arcata,ACV
North America,USA,Arctic Village,Arctic Village,ARC
North America,USA,Arnold Palmer Regional,Arnold Palmer Regional,LBE
North America,USA,Asheville Regional,Asheville Regional,AVL
North America,USA,Aspen Pitkin County Sardy Field,Aspen Pitkin County Sardy Field,ASE
North America,USA,Atka,Atka,AKB
North America,USA,Atlantic City,Atlantic City,ACY
