continent,country,city,airport_name,airport_code
Oceania,Australia,Adelaide,Adelaide,ADL
Oceania,Australia,Albany,Albany,ALH
Oceania,Australia,Albury,Albury,ABX
Oceania,Australia,Alice Springs,Alice Springs,ASP
Oceania,Australia,Armidale,Armidale,ARM
Oceania,Australia,Aurukun,Aurukun,AUU
Oceania,Australia,Avalon,Avalon,AVV
Oceania,Australia,Ayers Rock,Ayers Rock,AYQ
Oceania,Australia,Badu Island,Badu Island,BDD
Oceania,Australia,Balgo Hills,Balgo Hills,BQW
Oceania,Australia,Ballera,Ballera,BBL
Oceania,Australia,Ballina,Ballina,BNK
Oceania,Australia,Bamaga,Bamaga,ABM
Oceania,Australia,Barcaldine,Barcaldine,BCI
Oceania,Australia,Bedourie,Bedourie,BEU
Oceania,Australia,Bendigo,Bendigo,BXG
Oceania,Australia,Biloela,Biloela,ZBL
Oceania,Australia,Birdsville,Birdsville,BVI
Oceania,Australia,Blackall,Blackall,BKQ
Oceania,Australia,Boigu Island,Boigu Island,GIC
Oceania,Australia,Boulia,Boulia,BQL
Oceania,Australia,Bourke,Bourke,BRK
Oceania,Australia,Brisbane,Brisbane,BNE
Oceania,Australia,Brisbane West Wellcamp,Brisbane West Wellcamp,WTB
Oceania,Australia,Broken Hill,Broken Hill,BHQ
Oceania,Australia,Broome,Broome,BME
Oceania,Australia,Bundaberg,Bundaberg,BDB
Oceania,Australia,Burketown,Burketown,BUC
Oceania,Australia,Busselton,Busselton,BQB
Oceania,Australia,Cairns,Cairns,CNS
Oceania,Australia,Canberra,Canberra,CBR
Oceania,Australia,Carnarvon,Carnarvon,CVQ
Oceania,Australia,Cedun,Cedun,CED
Oceania,Australia,Charleville,Charleville,CTL
Oceania,Australia,Cloncurry,Cloncurry,CNJ
Oceania,Australia,Cobar,Cobar,CAZ
Oceania,Australia,Coconut Island,Coconut Island,CNC
Oceania,Australia,Coen,Coen,CUQ
Oceania,Australia,Coffs Harbor,Coffs Harbor,CFS
Oceania,Australia,Coober Pedy,Coober Pedy,CPD
Oceania,Australia,Cooktown,Cooktown,CTN
Oceania,Australia,Cunnamulla,Cunnamulla,CMA
Oceania,Australia,Darnley Island,Darnley Island,NLF
Oceania,Australia,Darwin,Darwin,DRW
Oceania,Australia,Derby,Derby,DRB
Oceania,Australia,Devonport,Devonport,DPO
Oceania,Australia,Doomadgee,Doomadgee,DMD
Oceania,Australia,Dubbo City Regional,Dubbo City Regional,DBO
Oceania,Australia,Edward River,Edward River,EDR
Oceania,Australia,Elcho Island,Elcho Island,ELC
Oceania,Australia,Emerald,Emerald,EMD
Oceania,Australia,Esperance,Esperance,EPR
Oceania,Australia,Fitzroy Crossing,Fitzroy Crossing,FIZ
Oceania,Australia,Flinders Island,Flinders Island,FLS
Oceania,Australia,Geraldton,Geraldton,GET
Oceania,Australia,Gladstone,Gladstone,GLT
Oceania,Australia,Gold Coast,Gold Coast,OOL
Oceania,Australia,Gove,Gove,GOV
Oceania,Australia,Griffith,Griffith,GFF
Oceania,Australia,Groofe Eylandt,Groofe Eylandt,GTE
Oceania,Australia,Halls Creek,Halls Creek,HCQ
Oceania,Australia,Hamilton Island,Hamilton Island,HTI
Oceania,Australia,Hervey Bay,Hervey Bay,HVB
Oceania,Australia,Hobart,Hobart,HBA
Oceania,Australia,Horn Island,Horn Island,HID
Oceania,Australia,Hughenden,Hughenden,HGD
Oceania,Australia,Illawara,Illawara,WOL
Oceania,Australia,Inverell,Inverell,IVR
Oceania,Australia,Julia Creek,Julia Creek,JCK
