country,city,airport_name,airport_code
fiji,Cicia,Cicia,ICI
fiji,Koro Island,Koro Island,KXF
fiji,Labasa,Labasa,LBS
fiji,Lakeba Island,Lakeba Island,LKB
fiji,Nadi,Nadi,NAN
fiji,Nausori,Nausori,SUV
fiji,Rotuma Island,Rotuma Island,RTA
fiji,Savusavu,Savusavu,SVU
fiji,Taveuni,Taveuni,TVU
fiji,Vanuabalavu,Vanuabalavu,VBV
fiji,Vunisea,Vunisea,KDV
french polynesia,Ahe,Ahe,AHE
french polynesia,Anaa,Anaa,AAA
french polynesia,Apataki,Apataki,APK
french polynesia,Aratika-Nord,Aratika-Nord,RKA
french polynesia,Arutua,Arutua,AXR
french polynesia,Atuona,Atuona,AUQ
french polynesia,Bora Bora,Bora Bora,BOB
french polynesia,Faa\\'a,Faa\\'a,PPT
french polynesia,Faaite,Faaite,FAC
french polynesia,Fakahina,Fakahina,FHZ
french polynesia,Fakarava,Fakarava,FAV
french polynesia,Fangatau,Fangatau,FGU
french polynesia,Gambier Island,Gambier Island,GMR
french polynesia,Hao Island,Hao Island,HOI
french polynesia,Hikueru,Hikueru,HHZ
french polynesia,Huahine,Huahine,HUH
french polynesia,Katiu,Katiu,KXU
french polynesia,Kauehi,Kauehi,KHZ
french polynesia,Kaukura Atoll,Kaukura Atoll,KKR
french polynesia,Makemo,Makemo,MKP
french polynesia,Manihi,Manihi,XMH
french polynesia,Mataiva,Mataiva,MVT
french polynesia,Maupiti,Maupiti,MAU
french polynesia,Moorea,Moorea,MOZ
french polynesia,Napuka Island,Napuka Island,NAU
french polynesia,Niau,Niau,NIU
french polynesia,Nuku Hiva,Nuku Hiva,NHV
french polynesia,Nukutavake,Nukutavake,NUK
french polynesia,Puka Puka,Puka Puka,PKP
french polynesia,Pukarua,Pukarua,PUK
french polynesia,Raiatea,Raiatea,RFP
french polynesia,Raivavae,Raivavae,RVV
french polynesia,Rangiroa,Rangiroa,RGI
french polynesia,Raroia,Raroia,RRR
french polynesia,Reao,Reao,REA
french polynesia,Rimatara,Rimatara,RMT
french polynesia,Rorutu,Rorutu,RUR
french polynesia,Takapoto,Takapoto,TKP
french polynesia,Takaroa,Takaroa,TKX
french polynesia,Takume,Takume,TJN
french polynesia,Tikehau Atoll,Tikehau Atoll,TIH
french polynesia,Tuamoto,Tuamoto,TKV
french polynesia,Tubuai,Tubuai,TUB
french polynesia,Tureira,Tureira,ZTA
french polynesia,Ua Huka,Ua Huka,UAH
french polynesia,Ua Pou,Ua Pou,UAP
french polynesia,Vahitahi,Vahitahi,VHZ
