arrival_airport,date,arrival_time,flight,airline,duration,distance,aircraft,seats,codeshare,meals
BKI,2026-02-13,00:10,LJ131,Jin Air,5h 35m,"2286 miles, 3678 km",Boeing 737-800 Passenger,188,,Meal (none specific)
BKI,2026-02-13,00:30,7C2605,Jeju Air,5h 40m,"2286 miles, 3678 km",Boeing 737-800 Passenger,186,H1 9875,Meal (none specific)
BKI,2026-02-13,00:30,CZ8483,China Southern,3h 40m,"1226 miles, 1973 km",Airbus A320,158,,Meal (none specific)
BKI,2026-02-13,00:30,FM867,Shanghai Airlines,4h 15m,"1790 miles, 2880 km",Boeing 737-500 (winglets) Passenger,166,MU 8621,Meal (none specific)
BKI,2026-02-13,00:30,UO790,HK Express,3h 5m,"1146 miles, 1844 km",Airbus A321,230,CX 5790,Meal (none specific)
BKI,2026-02-13,00:55,AK1575,AirAsia,4h 20m,"1711 miles, 2753 km",Airbus A320 (sharklets),180,,Meal (none specific)
BKI,2026-02-13,00:55,MH2626,Malaysia Airlines,2h 40m,"1017 miles, 1636 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,6E 3769 /FY 7652 /HY 7521 /QR 5446 /TK 4849 /WY 5633,Meal (none specific)
BKI,2026-02-13,01:20,AK5142,AirAsia,2h 35m,"1017 miles, 1636 km",Airbus A320neo,186,,Meal (none specific)
BKI,2026-02-13,01:30,9C8593,Spring Airlines,4h 45m,"1790 miles, 2880 km",Airbus A320,180,,Meal (none specific)
BKI,2026-02-13,03:35,AK1531,AirAsia,3h 15m,"1226 miles, 1973 km",Airbus A320 (sharklets),180,,Meal (none specific)
BKI,2026-02-13,05:35,AK1561,AirAsia,5h 20m,"2332 miles, 3752 km",Airbus A320neo,186,,Meal (none specific)
BKI,2026-02-13,07:25,AK6350,AirAsia,1h 25m,"502 miles, 808 km",Airbus A320,180,,Meal (none specific)
BKI,2026-02-13,07:55,MY3042,MAXjet,0h 35m,"71 miles, 114 km",ATR 72,68,,Meal (none specific)
BKI,2026-02-13,08:00,AK1517,AirAsia,4h 40m,"1790 miles, 2880 km",Airbus A320neo,186,,Meal (none specific)
BKI,2026-02-13,08:10,BI821,Royal Brunei Airlines,0h 40m,"104 miles, 167 km",Airbus A320neo,150,MH 3851,Meal (none specific)
BKI,2026-02-13,08:15,AK6341,AirAsia,0h 50m,"286 miles, 460 km",Airbus A320neo,186,,Meal (none specific)
BKI,2026-02-13,08:30,AK6269,AirAsia,0h 50m,"182 miles, 293 km",Airbus A320 (sharklets),180,,Meal (none specific)
BKI,2026-02-13,08:40,AK5108,AirAsia,2h 35m,"1017 miles, 1636 km",Airbus A320 (sharklets),180,,Meal (none specific)
BKI,2026-02-13,08:40,AK6493,AirAsia,0h 45m,"138 miles, 222 km",Airbus A320 (sharklets),180,,Meal (none specific)
BKI,2026-02-13,09:25,AK6072,AirAsia,0h 50m,"181 miles, 291 km",Airbus A320 (sharklets),180,,Meal (none specific)
BKI,2026-02-13,09:30,FY2530,Firefly,2h 40m,"1017 miles, 1636 km",Boeing 737-800 Passenger,189,MH 4455,Meal (none specific)
BKI,2026-02-13,09:35,AK5104,AirAsia,2h 35m,"1017 miles, 1636 km",Airbus A320,180,,Meal (none specific)
BKI,2026-02-13,09:55,AK6275,AirAsia,0h 50m,"182 miles, 293 km",Airbus A320neo,186,,Meal (none specific)
BKI,2026-02-13,10:00,OD1002,Batik Air,2h 30m,"1017 miles, 1636 km",Boeing 737-800 Passenger,167,EK 3439 /EY 5602 /TK 4572,Meal (none specific)
BKI,2026-02-13,10:30,AK5106,AirAsia,2h 30m,"1017 miles, 1636 km",Airbus A321neo,236,,Meal (none specific)
BKI,2026-02-13,10:30,MY3013,MAXjet,0h 55m,"169 miles, 272 km",ATR 72,68,,Meal (none specific)
BKI,2026-02-13,11:05,AK6487,AirAsia,0h 45m,"138 miles, 222 km",Airbus A320 (sharklets),180,,Meal (none specific)
BKI,2026-02-13,11:10,AK6261,AirAsia,0h 50m,"182 miles, 293 km",Airbus A320neo,186,,Meal (none specific)
