arrival_airport,date,arrival_time,flight,airline,duration,distance,aircraft,seats,codeshare,meals
BKK,2026-02-13,00:00,9C8755,Spring Airlines,5h 5m,"1809 miles, 2911 km",Airbus A320,180,,Meal (none specific)
BKK,2026-02-13,00:00,PG264,Bangkok Airways,1h 30m,"406 miles, 653 km",Airbus A319,133,AY 6878 /BR 3930 /CI 9824 /EK 4513 /EY 7616 /HX 3794 /JL 5904 /KC 1264 /KL 3735 /QR 4370 /TG 5644 /TK 4498,Meal (none specific)
BKK,2026-02-13,00:10,3U3937,Sichuan Airlines,3h 20m,"1178 miles, 1895 km",Airbus A320,165,CZ 1532,Meal (none specific)
BKK,2026-02-13,00:10,CA979,Air China,5h 10m,"2073 miles, 3335 km",Airbus A330-300,302,,Meal (none specific)
BKK,2026-02-13,00:10,FD4103,Thai AirAsia,1h 20m,"373 miles, 600 km",Airbus A320,180,,Meal (none specific)
BKK,2026-02-13,00:10,TW101,T´Way Air,6h 20m,"2291 miles, 3686 km",Boeing 737-800 Passenger,189,H1 5850,Meal (none specific)
BKK,2026-02-13,00:15,CX617,Cathay Pacific,3h 5m,"1055 miles, 1697 km",Boeing 777-300ER,339,AA 8919 /AC 9763 /AY 5129 /OM 5635 /PG 4570 /QR 3452,Meal (none specific)
BKK,2026-02-13,00:20,NH805,ANA,7h 25m,"2905 miles, 4674 km",Boeing 787-9,324,UA 7971 /AC 6251 /ET 1411 /TG 6005,Meal (none specific)
BKK,2026-02-13,00:25,HX779,Hong Kong Airlines,3h 20m,"1055 miles, 1697 km",Airbus A330-300,293,TK 9223,Meal (none specific)
BKK,2026-02-13,00:30,MU7703,China Eastern,4h 15m,"1704 miles, 2742 km",Airbus A321,177,,Meal (none specific)
BKK,2026-02-13,00:35,ET629,Ethiopian,3h 45m,"1434 miles, 2307 km",Boeing 787-9,315,,Meal (none specific)
BKK,2026-02-13,00:45,KE659,Korean Air,6h 10m,"2291 miles, 3686 km",Boeing 787-10,325,HA 6011 /DL 7917,Meal (none specific)
BKK,2026-02-13,00:45,MF843,XiamenAir,3h 30m,"1365 miles, 2196 km",Boeing 737-800 Passenger,172,PG 4264,Meal (none specific)
BKK,2026-02-13,00:50,9C8609,Spring Airlines,4h 5m,"1428 miles, 2298 km",Airbus A320,180,,Meal (none specific)
BKK,2026-02-13,00:50,HO1357,Juneyao Airlines,4h 50m,"1809 miles, 2911 km",Airbus A320,159,MU 3975,Meal (none specific)
BKK,2026-02-13,00:55,FM849,Shanghai Airlines,4h 50m,"1809 miles, 2911 km",Boeing 737-500 (winglets) Passenger,166,MU 8351,Meal (none specific)
BKK,2026-02-13,00:55,KE655,Korean Air,6h 5m,"2291 miles, 3686 km",Airbus A321neo,182,WS 6078 /DL 7921,Meal (none specific)
BKK,2026-02-13,01:05,CZ3035,China Southern,3h 5m,"1066 miles, 1715 km",Boeing 737-800 Passenger,172,3U 7071,Meal (none specific)
BKK,2026-02-13,01:10,EK371,Emirates,1h 20m,"235 miles, 378 km",Boeing 777-300ER,355,QF 8371,Meal (none specific)
BKK,2026-02-13,01:10,HX6153,Hong Kong Airlines,3h 15m,"1055 miles, 1697 km",Airbus A320,164,,Meal (none specific)
BKK,2026-02-13,01:10,MU7321,China Eastern,3h 25m,"1178 miles, 1895 km",Airbus A320neo,158,,Meal (none specific)
BKK,2026-02-13,01:20,8M390,MAI,1h 20m,"381 miles, 613 km",Airbus A320,180,,Meal (none specific)
BKK,2026-02-13,01:20,MU2803,China Eastern,4h 35m,"1704 miles, 2742 km",Airbus A320neo,158,,Meal (none specific)
BKK,2026-02-13,01:25,BR61,EVA Air,3h 55m,"1554 miles, 2500 km",Boeing 787-10,342,AI 7061 /TG 6313 /TK 9473,Meal (none specific)
BKK,2026-02-13,01:25,SC4079,Shandong Airlines,5h 20m,"1988 miles, 3199 km",Boeing 737-800 Passenger,167,CA 8869,Meal (none specific)
BKK,2026-02-13,01:30,CA805,Air China,4h 35m,"1809 miles, 2911 km",Airbus A320,158,,Meal (none specific)
BKK,2026-02-13,01:30,KU413,Kuwait Airways,6h 45m,"3547 miles, 5707 km",Boeing 777-300ER,334,TG 4632 /A3 1182,Meal (none specific)
BKK,2026-02-13,01:30,TW105,T´Way Air,6h 5m,"2325 miles, 3741 km",Boeing 737-800 Passenger,189,H1 5960,Meal (none specific)
BKK,2026-02-13,01:35,CI837,China Airlines,4h 5m,"1554 miles, 2500 km",Airbus A321neo,185,PG 4906,Meal (none specific)
BKK,2026-02-13,01:40,CZ8157,China Southern,3h 5m,"1062 miles, 1709 km",Airbus A320neo,166,,Meal (none specific)
BKK,2026-02-13,01:50,9C7533,Spring Airlines,4h 35m,"1743 miles, 2804 km",Airbus A320,180,,Meal (none specific)
BKK,2026-02-13,01:50,CZ3079,China Southern,4h 25m,"1675 miles, 2695 km",Boeing 737-800 Passenger,172,,Meal (none specific)
BKK,2026-02-13,01:50,CZ3029,China Southern,3h 50m,"1467 miles, 2360 km",Boeing 737-800 Passenger,172,,Meal (none specific)
BKK,2026-02-13,01:50,HX759,Hong Kong Airlines,3h 5m,"1055 miles, 1697 km",Airbus A320,164,,Meal (none specific)
