date,day_name,airport,direction,time,flight,airline,duration,time_range,distance,aircraft,seats,codeshare,meals,uid,airline_source,page_date_verified,scraped_at
15/3/2026,Sunday,BKK,arrival,00:00,9C8755,Spring Airlines,5h 5m,19:55 - 00:00,"1809 miles, 2911 km",Airbus A320,180,,Meal (none specific),260315_9C8755_19550000,text,True,2026-02-14T16:11:16.831591
15/3/2026,Sunday,BKK,arrival,00:05,MU2071,China Eastern,5h 10m,19:55 - 00:05,"2034 miles, 3273 km",Airbus A320neo,158,,Meal (none specific),260315_MU2071_19550005,text,True,2026-02-14T16:11:17.091679
15/3/2026,Sunday,BKK,arrival,00:10,3U3937,Sichuan Airlines,3h 20m,21:50 - 00:10,"1178 miles, 1895 km",Airbus A320,165,CZ 1532,Meal (none specific),260315_3U3937_21500010,text,True,2026-02-14T16:11:17.340678
15/3/2026,Sunday,BKK,arrival,00:10,CA979,Air China,5h 10m,20:00 - 00:10,"2073 miles, 3335 km",Airbus A330-300,302,,Meal (none specific),260315_CA979_20000010,text,True,2026-02-14T16:11:17.595721
15/3/2026,Sunday,BKK,arrival,00:10,FD4103,Thai AirAsia,1h 20m,22:50 - 00:10,"373 miles, 600 km",Airbus A320,180,,Meal (none specific),260315_FD4103_22500010,text,True,2026-02-14T16:11:17.833569
15/3/2026,Sunday,BKK,arrival,00:10,TW101,T´Way Air,6h 20m,19:50 - 00:10,"2291 miles, 3686 km",Boeing 737-800 Passenger,189,H1 5850,Meal (none specific),260315_TW101_19500010,text,True,2026-02-14T16:11:18.088016
15/3/2026,Sunday,BKK,arrival,00:15,CX617,Cathay Pacific,3h 5m,22:10 - 00:15,"1055 miles, 1697 km",Airbus A330-300,286,AA 8919 /AC 9763 /AY 5129 /OM 5635 /PG 4570 /QR 3452,Meal (none specific),260315_CX617_22100015,text,True,2026-02-14T16:11:18.332175
15/3/2026,Sunday,BKK,arrival,00:20,NH805,ANA,7h 25m,18:55 - 00:20,"2905 miles, 4674 km",Boeing 787-9,324,UA 7971 /AC 6251 /ET 1411 /TG 6005,Meal (none specific),260315_NH805_18550020,text,True,2026-02-14T16:11:18.581049
15/3/2026,Sunday,BKK,arrival,00:25,HX779,Hong Kong Airlines,3h 20m,22:05 - 00:25,"1055 miles, 1697 km",Airbus A330-300,293,,Meal (none specific),260315_HX779_22050025,text,True,2026-02-14T16:11:18.829542
15/3/2026,Sunday,BKK,arrival,00:35,ET629,Ethiopian,3h 45m,20:50 - 00:35,"1434 miles, 2307 km",Boeing 787-9,315,,Meal (none specific),260315_ET629_20500035,text,True,2026-02-14T16:11:19.091825
