date,day_name,airport,direction,time,flight,airline,duration,time_range,distance,aircraft,seats,codeshare,entertainment,meals,uid,airline_source,page_date_verified,scraped_at
18/2/2026,Wednesday,CAN,arrival,00:05,9C7750,Spring Airlines,2h 40m,21:25 - 00:05,"679 miles, 1093 km",Airbus A320,180,,,Meal (none specific),260218_9C7750_21250005,text,True,2026-02-15T08:54:06.004006
18/2/2026,Wednesday,CAN,arrival,00:05,GJ8568,Loong Air,Duration: 3h 15m,20:50 - 00:05,"1216 miles, 1957 km",Airbus A320,172,3U 4778 /CZ 7104 /EU 7628 /G5 6432 /HU 2568 /MF 5827 /TV 2428,,Meal (none specific),260218_GJ8568_20500005,text,True,2026-02-15T08:54:10.863308
18/2/2026,Wednesday,CAN,arrival,00:05,OZ357,Asiana,Duration: 4h 5m,21:00 - 00:05,"1252 miles, 2014 km",Airbus A321neo,187,ZH 3292,,Meal (none specific),260218_OZ357_21000005,text,True,2026-02-15T08:54:11.172412
18/2/2026,Wednesday,CAN,arrival,00:10,AQ1030,9 Air,Duration: 2h 30m,21:40 - 00:10,"673 miles, 1083 km",Boeing 737-800 Passenger,167,,,Meal (none specific),260218_AQ1030_21400010,text,True,2026-02-15T08:54:11.517778
18/2/2026,Wednesday,CAN,arrival,00:10,HU7827,Hainan Airlines,Duration: 2h 40m,21:30 - 00:10,"815 miles, 1311 km",Boeing 737-800 Passenger,179,9H 7827 /GS 5827,,Meal (none specific),260218_HU7827_21300010,text,True,2026-02-15T08:54:11.843905
18/2/2026,Wednesday,CAN,arrival,00:10,JD5132,Capital Airlines,Duration: 2h 15m,21:55 - 00:10,"852 miles, 1371 km",Airbus A320,169,HU 5010,,Meal (none specific),260218_JD5132_21550010,text,True,2026-02-15T08:54:12.172721
18/2/2026,Wednesday,CAN,arrival,00:10,MU9729,China Eastern,Duration: 2h 40m,21:30 - 00:10,"939 miles, 1511 km",Boeing 737 Passenger,168,,,Meal (none specific),260218_MU9729_21300010,text,True,2026-02-15T08:54:12.591688
18/2/2026,Wednesday,CAN,arrival,00:10,MU5325,China Eastern,Duration: 2h 55m,21:15 - 00:10,"751 miles, 1208 km",Airbus A320neo,158,HO 5409 /MF 3695 /SV 6918 /EY 5942,,Meal (none specific),260218_MU5325_21150010,text,True,2026-02-15T08:54:12.917879
18/2/2026,Wednesday,CAN,arrival,00:15,AQ1180,9 Air,Duration: 2h 55m,21:20 - 00:15,"846 miles, 1361 km",Boeing 737-800 Passenger,167,,,Meal (none specific),260218_AQ1180_21200015,text,True,2026-02-15T08:54:13.196590
18/2/2026,Wednesday,CAN,arrival,00:15,CZ6500,China Southern,Duration: 2h 20m,21:55 - 00:15,"939 miles, 1511 km",Airbus A320neo,166,,,Meal (none specific),260218_CZ6500_21550015,text,True,2026-02-15T08:54:13.492431
18/2/2026,Wednesday,CAN,arrival,00:15,CZ3610,China Southern,Duration: 3h 35m,20:40 - 00:15,"990 miles, 1593 km",Boeing 737MAX 8 Passenger,175,,,Meal (none specific),260218_CZ3610_20400015,text,True,2026-02-15T08:54:13.748126
18/2/2026,Wednesday,CAN,arrival,00:15,HO1853,Juneyao Airlines,Duration: 2h 40m,21:35 - 00:15,"734 miles, 1181 km",Airbus A320,159,3U 4571 /CA 3279 /MF 7634 /MU 3807 /CZ 217 /ZH 5208,,Meal (none specific),260218_HO1853_21350015,text,True,2026-02-15T08:54:14.045223
18/2/2026,Wednesday,CAN,arrival,00:15,JD5270,Capital Airlines,Duration: 2h 5m,22:10 - 00:15,"648 miles, 1043 km",Airbus A321,176,,,Meal (none specific),260218_JD5270_22100015,text,True,2026-02-15T08:54:14.321078
18/2/2026,Wednesday,CAN,arrival,00:20,9C8900,Spring Airlines,Duration: 3h 20m,21:00 - 00:20,"1027 miles, 1652 km",Airbus A320,180,,,Meal (none specific),260218_9C8900_21000020,text,True,2026-02-15T08:54:14.658467
18/2/2026,Wednesday,CAN,arrival,00:20,BK2788,OkAir,Duration: 3h 25m,20:55 - 00:20,"1119 miles, 1800 km",Boeing 737-900 Passenger,192,,,Meal (none specific),260218_BK2788_20550020,text,True,2026-02-15T08:54:14.917818
18/2/2026,Wednesday,CAN,arrival,00:20,MU6826,China Eastern,Duration: 2h 5m,22:15 - 00:20,"603 miles, 970 km",Boeing 737-200 Mixed Configuration,75,MF 2262,,Meal (none specific),260218_MU6826_22150020,text,True,2026-02-15T08:54:15.277174
18/2/2026,Wednesday,CAN,arrival,00:20,MU5773,China Eastern,Duration: 2h 30m,21:50 - 00:20,"905 miles, 1456 km",Boeing 737 Passenger,168,,,Meal (none specific),260218_MU5773_21500020,text,True,2026-02-15T08:54:15.552844
18/2/2026,Wednesday,CAN,arrival,00:20,SQ852,Singapore Airlines,Duration: 4h 25m,19:55 - 00:20,"1654 miles, 2661 km",Boeing 787,337,ET 1346 /VA 5762,,Meal (none specific),260218_SQ852_19550020,text,True,2026-02-15T08:54:15.873910
18/2/2026,Wednesday,CAN,arrival,00:25,9C8929,Spring Airlines,Duration: 2h 40m,21:45 - 00:25,"734 miles, 1181 km",Airbus A320,180,,,Meal (none specific),260218_9C8929_21450025,text,True,2026-02-15T08:54:16.227771
18/2/2026,Wednesday,CAN,arrival,00:25,AQ1062,9 Air,Duration: 5h 35m,18:50 - 00:25,"2048 miles, 3295 km",Boeing 737-800 Passenger,167,,,Meal (none specific),260218_AQ1062_18500025,text,True,2026-02-15T08:54:16.539898
18/2/2026,Wednesday,CAN,arrival,00:25,CA1329,Air China,Duration: 3h 25m,21:00 - 00:25,"1175 miles, 1891 km",Airbus A330,288,AC 6606 /ZH 1329,,Meal (none specific),260218_CA1329_21000025,text,True,2026-02-15T08:54:16.918757
18/2/2026,Wednesday,CAN,arrival,00:25,GJ8859,Loong Air,Duration: 2h 30m,21:55 - 00:25,"648 miles, 1043 km",Airbus A320,172,MU 4361 /TV 2499 /G5 6403 /EU 7699 /MF 5898 /3U 4839 /CZ 9953,,Meal (none specific),260218_GJ8859_21550025,text,True,2026-02-15T08:54:17.252168
18/2/2026,Wednesday,CAN,arrival,00:25,OQ2130,Chongqing Airlines,Duration: 1h 50m,22:35 - 00:25,"603 miles, 970 km",Airbus A320,175,,,Meal (none specific),260218_OQ2130_22350025,text,True,2026-02-15T08:54:17.562802
18/2/2026,Wednesday,CAN,arrival,00:30,AK118,AirAsia,Duration: 4h 15m,20:15 - 00:30,"1632 miles, 2626 km",Airbus A320neo,186,,,Meal (none specific),260218_AK118_20150030,text,True,2026-02-15T08:54:17.892209
18/2/2026,Wednesday,CAN,arrival,00:30,CZ3582,China Southern,Duration: 2h 40m,21:50 - 00:30,"734 miles, 1181 km",Airbus A321neo,198,,,Meal (none specific),260218_CZ3582_21500030,text,True,2026-02-15T08:54:18.202421
18/2/2026,Wednesday,CAN,arrival,00:30,CZ6607,China Southern,Duration: 2h 0m,22:30 - 00:30,"516 miles, 830 km",Boeing 737-800 Passenger,172,,,Meal (none specific),260218_CZ6607_22300030,text,True,2026-02-15T08:54:18.467193
18/2/2026,Wednesday,CAN,arrival,00:30,HU7250,Hainan Airlines,Duration: 2h 55m,21:35 - 00:30,"998 miles, 1606 km",Boeing 737-800 Passenger,179,,,Meal (none specific),260218_HU7250_21350030,text,True,2026-02-15T08:54:18.802002
18/2/2026,Wednesday,CAN,arrival,00:30,JD5162,Capital Airlines,Duration: 2h 0m,22:30 - 00:30,"728 miles, 1171 km",Airbus A321,176,,,Meal (none specific),260218_JD5162_22300030,text,True,2026-02-15T08:54:19.068672
18/2/2026,Wednesday,CAN,arrival,00:35,CZ3624,China Southern,Duration: 5h 5m,19:30 - 00:35,"1725 miles, 2776 km",Airbus A321neo,198,,,Meal (none specific),260218_CZ3624_19300035,text,True,2026-02-15T08:54:19.369250
18/2/2026,Wednesday,CAN,arrival,00:35,CZ3490,China Southern,Duration: 2h 0m,22:35 - 00:35,"667 miles, 1073 km",Airbus A320neo,166,,,Meal (none specific),260218_CZ3490_22350035,text,True,2026-02-15T08:54:19.634047
18/2/2026,Wednesday,CAN,arrival,00:35,CZ3780,China Southern,Duration: 2h 25m,22:10 - 00:35,"679 miles, 1093 km",Boeing 737-800 Passenger,172,,,Meal (none specific),260218_CZ3780_22100035,text,True,2026-02-15T08:54:19.909688
18/2/2026,Wednesday,CAN,arrival,00:35,MU2817,China Eastern,Duration: 2h 40m,21:55 - 00:35,"713 miles, 1147 km",Airbus A320,158,MF 3421,,Meal (none specific),260218_MU2817_21550035,text,True,2026-02-15T08:54:20.200877
18/2/2026,Wednesday,CAN,arrival,00:40,CZ3708,China Southern,Duration: 3h 5m,21:35 - 00:40,"964 miles, 1551 km",Airbus A320neo,166,,,Meal (none specific),260218_CZ3708_21350040,text,True,2026-02-15T08:54:20.472632
18/2/2026,Wednesday,CAN,arrival,00:40,GJ6032,Loong Air,Duration: 2h 5m,22:35 - 00:40,"536 miles, 862 km",Airbus A320,172,TV 2386 /G5 6406 /HU 2032 /EU 7586 /MF 5785 /3U 4744 /CZ 7068,,Meal (none specific),260218_GJ6032_22350040,text,True,2026-02-15T08:54:20.780868
18/2/2026,Wednesday,CAN,arrival,00:40,HU7224,Hainan Airlines,Duration: 5h 10m,19:30 - 00:40,"2048 miles, 3295 km",Boeing 737-800 Passenger,179,,,Meal (none specific),260218_HU7224_19300040,text,True,2026-02-15T08:54:21.112633
18/2/2026,Wednesday,CAN,arrival,00:40,MU6763,China Eastern,Duration: 2h 45m,21:55 - 00:40,"728 miles, 1171 km",Airbus A320,158,,,Meal (none specific),260218_MU6763_21550040,text,True,2026-02-15T08:54:21.452016
18/2/2026,Wednesday,CAN,arrival,00:45,AQ1002,9 Air,Duration: 3h 25m,21:20 - 00:45,"1134 miles, 1825 km",Boeing 737-800 Passenger,167,,,Meal (none specific),260218_AQ1002_21200045,text,True,2026-02-15T08:54:21.785008
18/2/2026,Wednesday,CAN,arrival,00:45,CA1385,Air China,Duration: 3h 10m,21:35 - 00:45,"1175 miles, 1891 km",Airbus A321,180,UA 7513 /ZH 1385,,Meal (none specific),260218_CA1385_21350045,text,True,2026-02-15T08:54:22.160156
18/2/2026,Wednesday,CAN,arrival,00:45,MU6317,China Eastern,Duration: 3h 25m,21:20 - 00:45,"1134 miles, 1825 km",Boeing 737-500 (winglets) Passenger,168,KN 6740 /MF 7514 /SV 6847,,Meal (none specific),260218_MU6317_21200045,text,True,2026-02-15T08:54:22.574168
18/2/2026,Wednesday,CAN,arrival,00:45,ZH9998,Shenzhen Airlines,Duration: 1h 50m,22:55 - 00:45,"474 miles, 763 km",Airbus A320,162,CA 3398 /SC 9680,,Meal (none specific),260218_ZH9998_22550045,text,True,2026-02-15T08:54:22.874749
18/2/2026,Wednesday,CAN,arrival,00:50,9C8934,Spring Airlines,Duration: 2h 35m,21:15 - 00:50,"982 miles, 1580 km",Airbus A320,180,,,Meal (none specific),260218_9C8934_21150050,text,True,2026-02-15T08:54:23.150831
18/2/2026,Wednesday,CAN,arrival,00:50,AQ1106,9 Air,Duration: 2h 35m,22:15 - 00:50,"815 miles, 1311 km",Boeing 737-800 Passenger,167,,,Meal (none specific),260218_AQ1106_22150050,text,True,2026-02-15T08:54:23.455940
18/2/2026,Wednesday,CAN,arrival,00:50,CZ6275,China Southern,Duration: 4h 50m,20:00 - 00:50,"1596 miles, 2568 km",Airbus A320,158,,,Meal (none specific),260218_CZ6275_20000050,text,True,2026-02-15T08:54:23.827172
18/2/2026,Wednesday,CAN,arrival,00:50,CZ8845,China Southern,Duration: 1h 30m,23:20 - 00:50,"464 miles, 747 km",Boeing 737-800 Passenger,172,,,Meal (none specific),260218_CZ8845_23200050,text,True,2026-02-15T08:54:24.215731
18/2/2026,Wednesday,CAN,arrival,00:50,CZ3114,China Southern,Duration: 3h 20m,21:30 - 00:50,"1134 miles, 1825 km",Airbus A330-300,283,,,Meal (none specific),260218_CZ3114_21300050,text,True,2026-02-15T08:54:24.548925
18/2/2026,Wednesday,CAN,arrival,00:50,HU7309,Hainan Airlines,Duration: 1h 50m,23:00 - 00:50,"434 miles, 698 km",Airbus A330-300,297,,,Meal (none specific),260218_HU7309_23000050,text,True,2026-02-15T08:54:24.894777
