arrival_airport,date,arrival_time,flight,airline,duration,distance,aircraft,seats,codeshare,meals
DFW,2026-02-14,00:12,F92632,Frontier,2h 6m,"644 miles, 1036 km",Airbus A321neo,238,Y4 2455,Meal (none specific)
DFW,2026-02-14,00:19,DL818,Delta,2h 26m,"733 miles, 1179 km",Airbus A321,212,AF 2621 /KE 7067 /KL 5413 /LA 6313 /SK 3716 /VS 4951 /WS 6499,Meal (none specific)
DFW,2026-02-14,00:20,AA3223,American Airlines,2h 57m,"1209 miles, 1945 km",Boeing 737MAX 8 Passenger,172,AS 4081,Meal (none specific)
DFW,2026-02-14,00:20,NK1149,Spirit,4h 21m,"1394 miles, 2243 km",Airbus A321neo,235,,Meal (none specific)
DFW,2026-02-14,00:31,AA1565,American Airlines,3h 31m,"1126 miles, 1812 km",Boeing 737-800 Passenger,172,AS 4384 /AT 5090 /BA 4943,Meal (none specific)
DFW,2026-02-14,00:38,AA1029,American Airlines,3h 1m,"939 miles, 1511 km",Airbus A321,190,AS 6444,Meal (none specific)
DFW,2026-02-14,00:49,AA676,American Airlines,2h 34m,"806 miles, 1297 km",Boeing 737-800 Passenger,172,BA 5173 /EI 7614,Meal (none specific)
DFW,2026-02-14,00:58,AA2860,American Airlines,2h 19m,"870 miles, 1400 km",Airbus A321,190,,Meal (none specific)
DFW,2026-02-14,00:59,F94964,Frontier,3h 12m,"1239 miles, 1994 km",Airbus A321,218,Y4 2861,Meal (none specific)
DFW,2026-02-14,01:11,F93284,Frontier,2h 24m,"870 miles, 1400 km",Airbus A320neo,186,Y4 2577,Meal (none specific)
DFW,2026-02-14,04:40,AS135,Alaska Airlines,3h 49m,"1667 miles, 2682 km",Boeing 737MAX 9 Passenger,178,HA 6380 /JX 7032 /KE 6119 /QR 2986 /TN 2328,Meal (none specific)
DFW,2026-02-14,04:50,AA2277,American Airlines,2h 52m,"1192 miles, 1918 km",Airbus A321,190,,Meal (none specific)
DFW,2026-02-14,05:00,AA799,American Airlines,3h 8m,"1350 miles, 2172 km",Boeing 737-800 Passenger,172,,Meal (none specific)
DFW,2026-02-14,05:01,AA1005,American Airlines,3h 26m,"1469 miles, 2364 km",Airbus A321,190,BA 5598 /CX 7602 /QF 4393,Meal (none specific)
DFW,2026-02-14,05:05,AA1378,American Airlines,4h 30m,"1790 miles, 2880 km",Boeing 737-800 Passenger,172,,Meal (none specific)
DFW,2026-02-14,05:08,AA1122,American Airlines,6h 13m,"2457 miles, 3953 km",Boeing 737MAX 8 Passenger,172,,Meal (none specific)
DFW,2026-02-14,05:13,AA2135,American Airlines,3h 14m,"1239 miles, 1994 km",Boeing 737MAX 8 Passenger,172,BA 5105 /CX 7603 /CZ 1660 /GF 6781 /TN 1186,Meal (none specific)
DFW,2026-02-14,05:20,AA3049,American Airlines,3h 40m,"1622 miles, 2610 km",Airbus A321,190,,Meal (none specific)
DFW,2026-02-14,05:30,IB363,Iberia,11h 35m,"4982 miles, 8016 km",Airbus A330,288,AA 8632 /AY 5657 /BA 4299 /QR 7235 /EI 5871,Meal (none specific)
DFW,2026-02-14,05:37,AA230,American Airlines,7h 7m,"3739 miles, 6016 km",Boeing 787-8,234,QR 2290,Meal (none specific)
DFW,2026-02-14,05:38,AA2056,American Airlines,3h 3m,"1239 miles, 1994 km",Airbus A321,190,MH 9482 /TN 1321,Meal (none specific)
DFW,2026-02-14,05:47,F91650,Frontier,2h 48m,"1059 miles, 1704 km",Airbus A321,218,Y4 2216,Meal (none specific)
DFW,2026-02-14,05:51,AA3075,American Airlines,3h 54m,"1667 miles, 2682 km",Airbus A321,190,,Meal (none specific)
DFW,2026-02-14,06:00,AA3047,American Airlines,3h 30m,"1469 miles, 2364 km",Airbus A321,190,IB 4709 /QF 4920,Meal (none specific)
DFW,2026-02-14,06:01,AA3907,American Airlines,0h 56m,"90 miles, 145 km",Embraer 175,73,AS 6122 /GF 4214 /QR 9628,Meal (none specific)
DFW,2026-02-14,06:01,NK1673,Spirit,2h 56m,"1239 miles, 1994 km",Airbus A321neo,235,,Meal (none specific)
DFW,2026-02-14,06:08,AA5492,American Airlines,1h 7m,"140 miles, 225 km",Canadair (Bombardier) Regional Jet 900,76,QR 8613,Meal (none specific)
DFW,2026-02-14,06:09,AA296,American Airlines,7h 9m,"3725 miles, 5994 km",Boeing 777-200 / 200ER,273,,Meal (none specific)
DFW,2026-02-14,06:12,AA2563,American Airlines,1h 12m,"191 miles, 307 km",Airbus A319,128,,Meal (none specific)
