arrival_airport,date,arrival_time,flight,airline,duration,distance,aircraft,seats,codeshare,meals
JHB,2026-02-13,07:00,AK1395,AirAsia,3h 55m,"1644 miles, 2645 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,07:20,AK5413,AirAsia,1h 20m,"463 miles, 745 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,07:55,AK6413,AirAsia,1h 10m,"346 miles, 557 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,07:55,AK6048,AirAsia,0h 55m,"156 miles, 251 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,09:15,AK5301,AirAsia,2h 15m,"908 miles, 1461 km",Airbus A320 (sharklets),180,,Meal (none specific)
JHB,2026-02-13,09:20,AK6051,AirAsia,0h 50m,"156 miles, 251 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,10:15,AK5031,AirAsia,1h 35m,"579 miles, 932 km",Airbus A320 (sharklets),180,,Meal (none specific)
JHB,2026-02-13,10:35,OD2407,Batik Air,1h 0m,"156 miles, 251 km",Boeing 737-800 Passenger,167,EY 5675,Meal (none specific)
JHB,2026-02-13,10:40,AK6042,AirAsia,0h 55m,"156 miles, 251 km",Airbus A320 (sharklets),180,,Meal (none specific)
JHB,2026-02-13,10:45,QZ392,Indonesia AirAsia,2h 15m,"890 miles, 1432 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,10:55,FD512,Thai AirAsia,2h 25m,"878 miles, 1413 km",Airbus A320neo,186,,Meal (none specific)
JHB,2026-02-13,11:20,AK1491,AirAsia,1h 50m,"670 miles, 1078 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,11:30,AK5013,AirAsia,1h 55m,"739 miles, 1189 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,11:30,FY1338,Firefly,1h 10m,"179 miles, 288 km",ATR 72,72,MH 5337,Meal (none specific)
JHB,2026-02-13,11:45,QZ242,Indonesia AirAsia,1h 40m,"577 miles, 928 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,12:40,AK6173,AirAsia,1h 15m,"389 miles, 626 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,12:55,AK6040,AirAsia,0h 55m,"156 miles, 251 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,12:55,AK6415,AirAsia,1h 10m,"346 miles, 557 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,13:30,AK9426,AirAsia,1h 20m,"463 miles, 745 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,14:15,AK6085,AirAsia,0h 55m,"270 miles, 434 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,14:40,AK5305,AirAsia,2h 15m,"908 miles, 1461 km",Airbus A320neo,186,,Meal (none specific)
JHB,2026-02-13,15:00,OD2405,Batik Air,1h 0m,"156 miles, 251 km",Boeing 737-800 Passenger,167,EY 5628 /EK 3447,Meal (none specific)
JHB,2026-02-13,15:15,FD510,Thai AirAsia,2h 20m,"878 miles, 1413 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,15:30,AK6034,AirAsia,0h 55m,"156 miles, 251 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,15:45,OD1201,Batik Air,1h 0m,"179 miles, 288 km",Boeing 737-800 Passenger,167,,Meal (none specific)
JHB,2026-02-13,16:05,AK6419,AirAsia,1h 10m,"346 miles, 557 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,16:20,AK1493,AirAsia,1h 55m,"670 miles, 1078 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,16:25,AK6455,AirAsia,1h 15m,"425 miles, 684 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,17:00,FY1342,Firefly,1h 10m,"179 miles, 288 km",ATR 72,72,MH 5343,Meal (none specific)
JHB,2026-02-13,17:00,AK6044,AirAsia,0h 50m,"156 miles, 251 km",Airbus A320 (sharklets),180,,Meal (none specific)
JHB,2026-02-13,17:05,AK5417,AirAsia,1h 20m,"463 miles, 745 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,17:50,AK6083,AirAsia,0h 55m,"270 miles, 434 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,18:05,AK5419,AirAsia,1h 20m,"463 miles, 745 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,18:15,FY2892,Firefly,1h 0m,"156 miles, 251 km",Boeing 737-800 Passenger,189,MH 4663,Meal (none specific)
JHB,2026-02-13,18:40,QZ240,Indonesia AirAsia,1h 45m,"577 miles, 928 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,18:55,MH1057,Malaysia Airlines,1h 0m,"156 miles, 251 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,6E 3731 /8M 9576 /BI 3011 /CI 9405 /FY 4007 /GA 9387 /MK 9756 /PR 3500 /QR 4997 /SQ 5513 /TK 4798 /WY 5686,Meal (none specific)
JHB,2026-02-13,19:35,AK6423,AirAsia,1h 10m,"346 miles, 557 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,19:50,AK6032,AirAsia,0h 55m,"156 miles, 251 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,20:00,OD1205,Batik Air,1h 0m,"179 miles, 288 km",Boeing 737-800 Passenger,167,,Meal (none specific)
JHB,2026-02-13,20:35,AK5309,AirAsia,2h 15m,"908 miles, 1461 km",Airbus A320neo,186,,Meal (none specific)
JHB,2026-02-13,20:40,AK5411,AirAsia,1h 20m,"463 miles, 745 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,20:50,AK5033,AirAsia,1h 30m,"579 miles, 932 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,21:05,AK6038,AirAsia,0h 55m,"156 miles, 251 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,21:25,AK5409,AirAsia,1h 25m,"463 miles, 745 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,21:30,OD2403,Batik Air,1h 0m,"156 miles, 251 km",Boeing 737-800 Passenger,167,EY 5627,Meal (none specific)
JHB,2026-02-13,21:50,FY1348,Firefly,1h 10m,"179 miles, 288 km",ATR 72,72,MH 5347,Meal (none specific)
JHB,2026-02-13,22:00,AK5597,AirAsia,2h 25m,"1019 miles, 1640 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,22:45,AK6417,AirAsia,1h 10m,"346 miles, 557 km",Airbus A320,180,,Meal (none specific)
JHB,2026-02-13,22:50,MH1063,Malaysia Airlines,1h 5m,"156 miles, 251 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,6E 3732 /FY 4002 /JL 7186 /QR 5503,Meal (none specific)
JHB,2026-02-13,23:35,AK5303,AirAsia,2h 15m,"908 miles, 1461 km",Airbus A320,180,,Meal (none specific)
