arrival_airport,date,arrival_time,flight,airline,duration,distance,aircraft,seats,codeshare,meals
KTI,2026-02-14,00:20,PR2621,PAL,3h 5m,"1111 miles, 1788 km",Airbus A321,174,,Meal (none specific)
KTI,2026-02-14,00:35,9C7321,Spring Airlines,4h 35m,"1750 miles, 2816 km",Airbus A320,180,,Meal (none specific)
KTI,2026-02-14,01:55,KR504,Cambodia Airways,2h 35m,"945 miles, 1521 km",Airbus A320,165,,Meal (none specific)
KTI,2026-02-14,02:35,K6593,Air Cambodia,3h 40m,"1400 miles, 2253 km",Airbus A320,181,,Meal (none specific)
KTI,2026-02-14,04:45,KR930,Cambodia Airways,2h 45m,"980 miles, 1577 km",Airbus A319,150,,Meal (none specific)
KTI,2026-02-14,05:40,KR938,Cambodia Airways,2h 50m,"1003 miles, 1614 km",Airbus A319,150,,Meal (none specific)
KTI,2026-02-14,06:50,K6611,Air Cambodia,2h 50m,"1003 miles, 1614 km",Airbus A320,181,,Meal (none specific)
KTI,2026-02-14,08:00,9C7007,Spring Airlines,3h 5m,"1003 miles, 1614 km",Airbus A320,180,,Meal (none specific)
KTI,2026-02-14,08:25,FD608,Thai AirAsia,1h 15m,"341 miles, 549 km",Airbus A320,180,,Meal (none specific)
KTI,2026-02-14,08:35,SQ154,Singapore Airlines,1h 55m,"697 miles, 1121 km",Boeing 737MAX 8 Passenger,154,AI 8242 /LH 9758 /LX 9084 /NH 6288 /NZ 3478 /VA 5474,Meal (none specific)
KTI,2026-02-14,08:45,TG586,Thai Airways,1h 20m,"325 miles, 523 km",Airbus A320,156,TK 8012,Meal (none specific)
KTI,2026-02-14,09:25,K6813,Air Cambodia,0h 55m,"124 miles, 200 km",ATR 72,70,VN 3853,Meal (none specific)
KTI,2026-02-14,09:45,VZ720,Vietjet Thailand,1h 15m,"325 miles, 523 km",Airbus A320,180,,Meal (none specific)
KTI,2026-02-14,09:50,MH754,Malaysia Airlines,1h 50m,"638 miles, 1027 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,BA 8179 /FY 7458 /KL 3853 /QR 5394,Meal (none specific)
KTI,2026-02-14,09:55,KT164,Mahogany Air,2h 0m,"638 miles, 1027 km",Airbus A320,159,,Meal (none specific)
KTI,2026-02-14,10:05,K6895,Air Cambodia,4h 0m,"1719 miles, 2766 km",Airbus A321,184,,Meal (none specific)
KTI,2026-02-14,10:10,K6102,Air Cambodia,0h 50m,"147 miles, 237 km",ATR 72,70,,Meal (none specific)
KTI,2026-02-14,10:25,CX607,Cathay Pacific,2h 45m,"966 miles, 1554 km",Airbus A321neo,202,AY 5131,Meal (none specific)
KTI,2026-02-14,10:45,ZH155,Shenzhen Airlines,2h 35m,"980 miles, 1577 km",Boeing 737-800 Passenger,164,CA 7985,Meal (none specific)
KTI,2026-02-14,10:50,CZ8313,China Southern,2h 45m,"1003 miles, 1614 km",Airbus A321neo,198,,Meal (none specific)
KTI,2026-02-14,11:25,BR265,EVA Air,3h 40m,"1434 miles, 2307 km",Airbus A330-300,309,,Meal (none specific)
KTI,2026-02-14,11:35,MU9609,China Eastern,3h 5m,"963 miles, 1549 km",Boeing 737-500 (winglets) Passenger,168,,Meal (none specific)
KTI,2026-02-14,11:45,MF8645,XiamenAir,3h 15m,"1263 miles, 2032 km",Boeing 737-800 Passenger,172,CZ 1805,Meal (none specific)
KTI,2026-02-14,12:40,K6855,Air Cambodia,1h 55m,"687 miles, 1105 km",Airbus A320,181,,Meal (none specific)
KTI,2026-02-14,12:50,KR702,Cambodia Airways,1h 15m,"325 miles, 523 km",Airbus A319,150,,Meal (none specific)
KTI,2026-02-14,13:00,VN921,Vietnam Airlines,1h 25m,"486 miles, 782 km",Airbus A321,184,K6 3921,Meal (none specific)
KTI,2026-02-14,13:45,SQ156,Singapore Airlines,2h 0m,"697 miles, 1121 km",Boeing 737MAX 8 Passenger,154,AC 5868 /AI 8244 /NZ 3482 /VA 5476,Meal (none specific)
KTI,2026-02-14,13:50,K6831,Air Cambodia,1h 5m,"101 miles, 163 km",ATR 72,70,,Meal (none specific)
KTI,2026-02-14,14:00,K6817,Air Cambodia,1h 0m,"124 miles, 200 km",ATR 72,70,VN 3855,Meal (none specific)
KTI,2026-02-14,14:05,KR508,Cambodia Airways,2h 35m,"966 miles, 1554 km",Airbus A320,165,,Meal (none specific)
KTI,2026-02-14,14:10,MF8727,XiamenAir,3h 15m,"1400 miles, 2253 km",Boeing 737-800 Passenger,172,,Meal (none specific)
KTI,2026-02-14,14:20,K6723,Air Cambodia,1h 15m,"325 miles, 523 km",Airbus A321,184,,Meal (none specific)
KTI,2026-02-14,14:40,TK52,Turkish Airlines,1h 25m,"325 miles, 523 km",Airbus A330-300,293,,Meal (none specific)
KTI,2026-02-14,14:55,QZ474,Indonesia AirAsia,3h 0m,"1220 miles, 1963 km",Airbus A320,180,,Meal (none specific)
KTI,2026-02-14,15:05,CZ6059,China Southern,3h 0m,"1003 miles, 1614 km",Airbus A320neo,166,,Meal (none specific)
KTI,2026-02-14,15:15,K6669,Air Cambodia,2h 50m,"1003 miles, 1614 km",Airbus A320,181,,Meal (none specific)
KTI,2026-02-14,15:20,ZA216,Sky Angkor Airlines,6h 0m,"2255 miles, 3628 km",Airbus A320,180,,Meal (none specific)
KTI,2026-02-14,15:25,QR970,Qatar Airways,0h 50m,"124 miles, 200 km",Boeing 777-300ER,358,BA 2353 /WB 1698 /AA 8259 /AY 6673 /LA 5296 /IB 6290,Meal (none specific)
KTI,2026-02-14,15:45,K6106,Air Cambodia,0h 55m,"147 miles, 237 km",ATR 72,70,VN 3811,Meal (none specific)
KTI,2026-02-14,16:30,FD606,Thai AirAsia,1h 15m,"341 miles, 549 km",Airbus A320,180,,Meal (none specific)
KTI,2026-02-14,16:35,EK348,Emirates,2h 5m,"697 miles, 1121 km",Boeing 777-300ER,355,,Meal (none specific)
KTI,2026-02-14,16:40,VN920,Vietnam Airlines,0h 45m,"124 miles, 200 km",Airbus A321,184,K6 3920 /AF 3322,Meal (none specific)
KTI,2026-02-14,16:45,KT162,Mahogany Air,1h 55m,"638 miles, 1027 km",Airbus A320,159,,Meal (none specific)
KTI,2026-02-14,17:05,MF895,XiamenAir,3h 10m,"1263 miles, 2032 km",Boeing 737MAX 8 Passenger,177,CZ 1825,Meal (none specific)
KTI,2026-02-14,17:15,KR910,Cambodia Airways,4h 25m,"1674 miles, 2693 km",Airbus A320,165,,Meal (none specific)
KTI,2026-02-14,17:30,MH762,Malaysia Airlines,1h 50m,"638 miles, 1027 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,KL 4085 /QR 4973,Meal (none specific)
KTI,2026-02-14,17:45,CX605,Cathay Pacific,2h 45m,"966 miles, 1554 km",Airbus A321neo,202,AY 5121,Meal (none specific)
KTI,2026-02-14,17:50,K6833,Air Cambodia,1h 35m,"296 miles, 476 km",ATR 72,70,,Meal (none specific)
KTI,2026-02-14,17:55,MU9627,China Eastern,2h 55m,"963 miles, 1549 km",Boeing 737-800 Passenger,168,,Meal (none specific)
KTI,2026-02-14,18:20,K6725,Air Cambodia,1h 10m,"325 miles, 523 km",Airbus A321,184,,Meal (none specific)
