date,day_name,airport,direction,time,flight,airline,duration,time_range,distance,aircraft,seats,codeshare,meals,uid,airline_source,page_date_verified,scraped_at
17/2/2026,Tuesday,MYY,arrival,08:00,AK6180,AirAsia,1h 0m,07:00 - 08:00,"320 miles, 515 km",Airbus A320,180,,Meal (none specific),260217_AK6180_07000800,text,True,2026-02-14T16:24:51.231548
17/2/2026,Tuesday,MYY,arrival,08:25,MY3221,MAXjet,0h 45m,07:40 - 08:25,"110 miles, 177 km",ATR 72,68,,Meal (none specific),260217_MY3221_07400825,text,True,2026-02-14T16:24:51.439057
17/2/2026,Tuesday,MYY,arrival,08:55,AK5651,AirAsia,2h 25m,06:30 - 08:55,"858 miles, 1381 km",Airbus A320,180,,Meal (none specific),260217_AK5651_06300855,text,True,2026-02-14T16:24:51.647584
17/2/2026,Tuesday,MYY,arrival,09:25,MY3652,MAXjet,Duration: 1h 0m,08:25 - 09:25,"199 miles, 320 km",ATR 72,68,,Meal (none specific),260217_MY3652_08250925,text,True,2026-02-14T16:24:56.142830
17/2/2026,Tuesday,MYY,arrival,10:25,AK5653,AirAsia,Duration: 2h 25m,08:00 - 10:25,"858 miles, 1381 km",Airbus A320,180,,Meal (none specific),260217_AK5653_08001025,text,True,2026-02-14T16:25:00.597938
17/2/2026,Tuesday,MYY,arrival,10:45,AK6077,AirAsia,Duration: 0h 50m,09:55 - 10:45,"181 miles, 291 km",Airbus A320 (sharklets),180,,Meal (none specific),260217_AK6077_09551045,text,True,2026-02-14T16:25:00.831979
17/2/2026,Tuesday,MYY,arrival,11:05,AK6190,AirAsia,Duration: 1h 5m,10:00 - 11:05,"320 miles, 515 km",Airbus A320,180,,Meal (none specific),260217_AK6190_10001105,text,True,2026-02-14T16:25:01.050234
17/2/2026,Tuesday,MYY,arrival,11:10,MY3654,MAXjet,Duration: 1h 0m,10:10 - 11:10,"199 miles, 320 km",ATR 72,68,,Meal (none specific),260217_MY3654_10101110,text,True,2026-02-14T16:25:01.245231
17/2/2026,Tuesday,MYY,arrival,11:25,MY3471,MAXjet,Duration: 0h 35m,10:50 - 11:25,"78 miles, 126 km",ATR 72,68,,Meal (none specific),260217_MY3471_10501125,text,True,2026-02-14T16:25:09.881927
17/2/2026,Tuesday,MYY,arrival,11:25,MH2574,Malaysia Airlines,Duration: 2h 25m,09:00 - 11:25,"858 miles, 1381 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,FY 7570 /JL 7195 /PR 3556 /QR 5426 /SQ 5666 /TK 4821 /WY 5658,Meal (none specific),260217_MH2574_09001125,text,True,2026-02-14T16:25:10.112088
17/2/2026,Tuesday,MYY,arrival,12:05,MY3631,MAXjet,Duration: 0h 30m,11:35 - 12:05,"59 miles, 95 km",ATR 72,68,,Meal (none specific),260217_MY3631_11351205,text,True,2026-02-14T16:25:10.316620
17/2/2026,Tuesday,MYY,arrival,12:15,AK5642,AirAsia,Duration: 2h 20m,09:55 - 12:15,"858 miles, 1381 km",Airbus A320,180,,Meal (none specific),260217_AK5642_09551215,text,True,2026-02-14T16:25:10.565595
17/2/2026,Tuesday,MYY,arrival,12:30,AK6192,AirAsia,Duration: 1h 0m,11:30 - 12:30,"320 miles, 515 km",Airbus A320,180,,Meal (none specific),260217_AK6192_11301230,text,True,2026-02-14T16:25:15.050667
17/2/2026,Tuesday,MYY,arrival,12:35,MY3225,MAXjet,Duration: 0h 45m,11:50 - 12:35,"110 miles, 177 km",ATR 72,68,,Meal (none specific),260217_MY3225_11501235,text,True,2026-02-14T16:25:15.264847
17/2/2026,Tuesday,MYY,arrival,14:35,MY3633,MAXjet,Duration: 0h 30m,14:05 - 14:35,"59 miles, 95 km",ATR 72,68,,Meal (none specific),260217_MY3633_14051435,text,True,2026-02-14T16:25:28.049946
17/2/2026,Tuesday,MYY,arrival,14:45,AK6186,AirAsia,Duration: 1h 5m,13:40 - 14:45,"320 miles, 515 km",Airbus A320,180,,Meal (none specific),260217_AK6186_13401445,text,True,2026-02-14T16:25:28.251913
