date,day_name,airport,direction,time,flight,airline,duration,time_range,distance,aircraft,seats,codeshare,entertainment,meals,uid,airline_source,page_date_verified,scraped_at
18/3/2026,Wednesday,PKX,arrival,00:05,9C7206,Spring Airlines,2h 45m,22:20 - 00:05,"700 miles, 1126 km",Airbus A320,180,,,Meal (none specific),260318_9C7206_22200005,text,True,2026-02-15T15:01:44.425238
18/3/2026,Wednesday,PKX,arrival,00:05,CA8620,Air China,2h 35m,21:30 - 00:05,"813 miles, 1308 km",Boeing 737-800 Passenger,167,ZH 4884,,Meal (none specific),260318_CA8620_21300005,text,True,2026-02-15T15:01:44.791862
18/3/2026,Wednesday,PKX,arrival,00:05,CA8646,Air China,4h 10m,19:55 - 00:05,"1595 miles, 2566 km",Boeing 737-800 Passenger,167,ZH 4646,,Meal (none specific),260318_CA8646_19550005,text,True,2026-02-15T15:01:45.130426
18/3/2026,Wednesday,PKX,arrival,00:05,CZ8915,China Southern,3h 10m,20:55 - 00:05,"1059 miles, 1704 km",Airbus A321neo,198,,,Meal (none specific),260318_CZ8915_20550005,text,True,2026-02-15T15:01:45.490213
18/3/2026,Wednesday,PKX,arrival,00:05,SU6621,Aeroflot,3h 50m,19:15 - 00:05,"1572 miles, 2529 km",Airbus A319,128,,,Meal (none specific),260318_SU6621_19150005,text,True,2026-02-15T15:01:45.855114
18/3/2026,Wednesday,PKX,arrival,00:05,VJ3948,VietJet,5h 0m,18:05 - 00:05,"2082 miles, 3350 km",Airbus A320,180,H1 4278,,Meal (none specific),260318_VJ3948_18050005,text,True,2026-02-15T15:01:46.208370
18/3/2026,Wednesday,PKX,arrival,00:10,CZ8996,China Southern,3h 55m,20:15 - 00:10,"1524 miles, 2452 km",Airbus A320,158,,,Meal (none specific),260318_CZ8996_20150010,text,True,2026-02-15T15:01:46.553367
18/3/2026,Wednesday,PKX,arrival,00:10,CZ3107,China Southern,3h 10m,21:00 - 00:10,"1134 miles, 1825 km",Airbus A321neo,198,SV 6004,,Meal (none specific),260318_CZ3107_21000010,text,True,2026-02-15T15:01:46.899109
18/3/2026,Wednesday,PKX,arrival,00:10,CZ8860,China Southern,2h 25m,21:45 - 00:10,"684 miles, 1101 km",Airbus A320neo,166,,,Meal (none specific),260318_CZ8860_21450010,text,True,2026-02-15T15:01:47.252683
18/3/2026,Wednesday,PKX,arrival,00:10,MF8340,XiamenAir,3h 0m,21:10 - 00:10,"1134 miles, 1825 km",Airbus A321neo,208,MU 4685 /GJ 3880 /HO 7119 /G5 9330 /3U 2454 /NS 8340 /CZ 4253 /KL 3768,,Meal (none specific),260318_MF8340_21100010,text,True,2026-02-15T15:01:47.615474
18/3/2026,Wednesday,PKX,arrival,00:15,CZ8914,China Southern,2h 45m,21:30 - 00:15,"940 miles, 1512 km",Airbus A321,188,,,Meal (none specific),260318_CZ8914_21300015,text,True,2026-02-15T15:01:47.967850
18/3/2026,Wednesday,PKX,arrival,00:15,JD5108,Capital Airlines,3h 35m,20:40 - 00:15,"1526 miles, 2455 km",Airbus A320,169,,,Meal (none specific),260318_JD5108_20400015,text,True,2026-02-15T15:01:48.329403
18/3/2026,Wednesday,PKX,arrival,00:15,KN5890,China United Airlines,3h 25m,20:50 - 00:15,"1321 miles, 2125 km",Boeing 737 Passenger,178,MU 8208,,Meal (none specific),260318_KN5890_20500015,text,True,2026-02-15T15:01:48.692951
18/3/2026,Wednesday,PKX,arrival,00:15,MU6114,China Eastern,2h 25m,21:50 - 00:15,"752 miles, 1210 km",Airbus A321,177,CZ 1943 /KN 6594 /MF 7442 /EY 5855,,Meal (none specific),260318_MU6114_21500015,text,True,2026-02-15T15:01:49.043879
18/3/2026,Wednesday,PKX,arrival,00:15,VZ3718,Vietjet Thailand,4h 40m,18:35 - 00:15,"2034 miles, 3273 km",Airbus A320,180,,,Meal (none specific),260318_VZ3718_18350015,text,True,2026-02-15T15:01:49.402728
18/3/2026,Wednesday,PKX,arrival,00:20,CZ3285,China Southern,3h 15m,21:05 - 00:20,"1271 miles, 2045 km",Boeing 737-800 Passenger,172,,,Meal (none specific),260318_CZ3285_21050020,text,True,2026-02-15T15:01:49.762695
18/3/2026,Wednesday,PKX,arrival,00:25,KN5508,China United Airlines,2h 20m,22:05 - 00:25,"679 miles, 1093 km",Boeing 737 Passenger,178,MU 8124,,Meal (none specific),260318_KN5508_22050025,text,True,2026-02-15T15:01:50.124190
18/3/2026,Wednesday,PKX,arrival,00:25,MU5140,China Eastern,2h 10m,22:15 - 00:25,"684 miles, 1101 km",Boeing 737-500 (winglets) Passenger,168,KN 6506 /MF 3554,,Meal (none specific),260318_MU5140_22150025,text,True,2026-02-15T15:01:50.505319
