arrival_airport,date,arrival_time,flight,airline,duration,distance,aircraft,seats,codeshare,meals
SZB,2026-02-16,08:30,OD1163,Batik Air,1h 0m,"174 miles, 280 km",Boeing 737-800 Passenger,167,,Meal (none specific)
SZB,2026-02-16,09:15,FY1431,Firefly,1h 0m,"174 miles, 280 km",ATR 72,72,MH 5379,Meal (none specific)
SZB,2026-02-16,09:40,FY1335,Firefly,1h 0m,"179 miles, 288 km",ATR 72,72,MH 5330,Meal (none specific)
SZB,2026-02-16,09:50,FY3123,Firefly,1h 20m,"207 miles, 333 km",ATR 72,72,MH 5480,Meal (none specific)
SZB,2026-02-16,09:50,FY1257,Firefly,1h 0m,"189 miles, 304 km",ATR 72,72,MH 5411,Meal (none specific)
SZB,2026-02-16,10:30,FY3125,Firefly,1h 20m,"207 miles, 333 km",ATR 72,72,MH 5482,Meal (none specific)
SZB,2026-02-16,10:40,OD811,Batik Air,1h 5m,"209 miles, 336 km",Boeing 737-800 Passenger,167,,Meal (none specific)
SZB,2026-02-16,11:35,FY1155,Firefly,1h 10m,"216 miles, 348 km",ATR 72,72,MH 5505,Meal (none specific)
SZB,2026-02-16,12:40,FY3127,Firefly,1h 20m,"207 miles, 333 km",ATR 72,72,MH 5488,Meal (none specific)
SZB,2026-02-16,13:05,FY1339,Firefly,1h 5m,"179 miles, 288 km",ATR 72,72,MH 5336,Meal (none specific)
SZB,2026-02-16,13:10,TR474,Scoot,1h 10m,"209 miles, 336 km",Airbus A320,180,SQ 8584,Meal (none specific)
SZB,2026-02-16,13:10,FY1147,Firefly,1h 10m,"216 miles, 348 km",ATR 72,72,MH 5307,Meal (none specific)
SZB,2026-02-16,13:15,FY1577,Firefly,1h 15m,"255 miles, 410 km",ATR 72,72,MH 5363,Meal (none specific)
SZB,2026-02-16,13:30,OD1161,Batik Air,1h 0m,"174 miles, 280 km",Boeing 737-800 Passenger,167,,Meal (none specific)
SZB,2026-02-16,13:55,FY1259,Firefly,1h 0m,"189 miles, 304 km",ATR 72,72,MH 5421,Meal (none specific)
SZB,2026-02-16,14:30,OD349,Batik Air,2h 5m,"733 miles, 1179 km",Boeing 737-800 Passenger,167,,Meal (none specific)
SZB,2026-02-16,14:35,OD1403,Batik Air,1h 5m,"255 miles, 410 km",Boeing 737-800 Passenger,167,,Meal (none specific)
SZB,2026-02-16,15:20,FY3129,Firefly,1h 20m,"207 miles, 333 km",ATR 72,72,MH 5478,Meal (none specific)
SZB,2026-02-16,16:10,FY1433,Firefly,1h 0m,"174 miles, 280 km",ATR 72,72,MH 5383,Meal (none specific)
