arrival_airport,date,arrival_time,flight,airline,duration,distance,aircraft,seats,codeshare,meals
UTH,2026-02-13,07:05,DD300,Nok Air,1h 5m,"282 miles, 454 km",Boeing 737-800 Passenger,189,,Meal (none specific)
UTH,2026-02-13,08:00,TG2,Thai Airways,1h 5m,"291 miles, 468 km",Airbus A320,156,TK 8480,Meal (none specific)
UTH,2026-02-13,08:10,FD4350,Thai AirAsia,1h 5m,"291 miles, 468 km",Airbus A320,180,,Meal (none specific)
UTH,2026-02-13,08:30,FD3362,Thai AirAsia,1h 15m,"282 miles, 454 km",Airbus A320,180,,Meal (none specific)
UTH,2026-02-13,09:00,SL600,Thai Lion Air,1h 0m,"282 miles, 454 km",Boeing 737-800 Passenger,167,,Meal (none specific)
UTH,2026-02-13,09:40,VZ200,Vietjet Thailand,1h 10m,"291 miles, 468 km",Airbus A320,180,,Meal (none specific)
UTH,2026-02-13,10:10,SL602,Thai Lion Air,1h 5m,"282 miles, 454 km",Boeing 737-900 Passenger,176,,Meal (none specific)
UTH,2026-02-13,10:50,DD304,Nok Air,1h 10m,"282 miles, 454 km",Boeing 737-800 Passenger,189,,Meal (none specific)
UTH,2026-02-13,11:15,FD2010,Thai AirAsia,1h 5m,"270 miles, 434 km",Airbus A320,180,,Meal (none specific)
UTH,2026-02-13,11:45,FD3354,Thai AirAsia,1h 10m,"282 miles, 454 km",Airbus A320,180,,Meal (none specific)
UTH,2026-02-13,12:15,SL604,Thai Lion Air,1h 0m,"282 miles, 454 km",Boeing 737-800 Passenger,167,,Meal (none specific)
UTH,2026-02-13,13:40,TG4,Thai Airways,1h 10m,"291 miles, 468 km",Airbus A320,156,GF 6374 /MH 5852 /TK 8481,Meal (none specific)
UTH,2026-02-13,14:25,VZ204,Vietjet Thailand,1h 10m,"291 miles, 468 km",Airbus A320,180,,Meal (none specific)
UTH,2026-02-13,14:35,SL589,Thai Lion Air,1h 20m,"347 miles, 558 km",Boeing 737-900 Passenger,176,,Meal (none specific)
UTH,2026-02-13,14:50,DD306,Nok Air,1h 10m,"282 miles, 454 km",Boeing 737-800 Passenger,189,,Meal (none specific)
UTH,2026-02-13,15:35,SL598,Thai Lion Air,2h 10m,"744 miles, 1197 km",Boeing 737-800 Passenger,167,,Meal (none specific)
UTH,2026-02-13,15:45,FD3358,Thai AirAsia,1h 20m,"282 miles, 454 km",Airbus A320,180,,Meal (none specific)
UTH,2026-02-13,18:00,VZ202,Vietjet Thailand,1h 10m,"291 miles, 468 km",Airbus A320,180,,Meal (none specific)
UTH,2026-02-13,19:10,FD3350,Thai AirAsia,1h 10m,"282 miles, 454 km",Airbus A320,180,,Meal (none specific)
UTH,2026-02-13,19:30,FD4352,Thai AirAsia,1h 10m,"291 miles, 468 km",Airbus A320,180,,Meal (none specific)
UTH,2026-02-13,19:55,SL616,Thai Lion Air,1h 5m,"282 miles, 454 km",Boeing 737-800 Passenger,167,,Meal (none specific)
UTH,2026-02-13,20:25,TG8,Thai Airways,1h 10m,"291 miles, 468 km",Airbus A320,156,MH 5853,Meal (none specific)
UTH,2026-02-13,21:05,FD3356,Thai AirAsia,1h 10m,"282 miles, 454 km",Airbus A320,180,,Meal (none specific)
